"Rank","Genes ranked in the direction 2","'-log10(RRA score)'","KO essential score","Brief feature","Description"
7251,"IGFBP2",0.4064,0.12,"NA","insulin like growth factor binding protein 2"
7252,"SLITRK1",0.4063,0.095,"NA","SLIT and NTRK like family member 1"
7253,"PAPSS2",0.4063,0,"NA","3'-phosphoadenosine 5'-phosphosulfate synthase 2"
7254,"CCN4",0.4062,,,
7255,"NPY5R",0.4061,0.16,"NA","neuropeptide Y receptor Y5"
7256,"HS3ST4",0.406,0.08,"NA","heparan sulfate-glucosamine 3-sulfotransferase 4"
7257,"NAIF1",0.406,-0.085,"TF","nuclear apoptosis inducing factor 1"
7258,"ZMIZ1",0.4059,-0.205,"TF","zinc finger MIZ-type containing 1"
7259,"CDH24",0.4059,-0.26,"NA","cadherin 24"
7260,"NOL4L",0.4058,-0.025,"NA","nucleolar protein 4 like"
7261,"TRIR",0.4058,-0.25,"NA","telomerase RNA component interacting RNase"
7262,"HES3",0.4057,-0.125,"TF","hes family bHLH transcription factor 3"
7263,"FNIP1",0.4056,-0.02,"NA","folliculin interacting protein 1"
7264,"ODAD1",0.4056,,,
7265,"TBX10",0.4055,-0.19,"TF","T-box transcription factor 10"
7266,"PLEKHH2",0.4055,0.055,"NA","pleckstrin homology"
7267,"PSMA7",0.4054,-1.8,"NA","proteasome 20S subunit alpha 7"
7268,"FAM210A",0.4054,-0.435,"NA","family with sequence similarity 210 member A"
7269,"PAQR8",0.4053,-0.165,"NA","progestin and adipoQ receptor family member 8"
7270,"FOXJ2",0.4053,-0.045,"TF","forkhead box J2"
7271,"PROSER3",0.4052,,,
7272,"DYNC2H1",0.4051,0.045,"NA","dynein cytoplasmic 2 heavy chain 1"
7273,"ACOT6",0.405,-0.075,"NA","acyl-CoA thioesterase 6"
7274,"PPP1R9B",0.405,,,
7275,"MAP10",0.4049,-0.08,"NA","microtubule associated protein 10"
7276,"FKBP1A",0.4049,-0.295,"NA","FKBP prolyl isomerase 1A"
7277,"MATN1",0.4048,-0.27,"NA","matrilin 1"
7278,"XKR9",0.4047,0.005,"NA","XK related 9"
7279,"PUS10",0.4047,-0.08,"NA","pseudouridine synthase 10"
7280,"CCL17",0.4046,-0.115,"NA","C-C motif chemokine ligand 17"
7281,"UGT1A1",0.4045,0.04,"NA","UDP glucuronosyltransferase family 1 member A1"
7282,"CEP135",0.4044,-0.305,"NA","centrosomal protein 135"
7283,"TCP1",0.4044,-1.475,"NA","t-complex 1"
7284,"PM20D1",0.4043,-0.095,"NA","peptidase M20 domain containing 1"
7285,"ALDH9A1",0.4043,-0.07,"NA","aldehyde dehydrogenase 9 family member A1"
7286,"KIAA1191",0.4042,0.005,"NA","KIAA1191"
7287,"EPHA4",0.4042,0.1,"Kinase","EPH receptor A4"
7288,"SCAF1",0.4041,-0.31,"NA","SR-related CTD associated factor 1"
7289,"SLC1A4",0.4041,-0.06,"NA","solute carrier family 1 member 4"
7290,"NAP1L1",0.4039,-0.075,"NA","nucleosome assembly protein 1 like 1"
7291,"DBN1",0.4039,-0.055,"NA","drebrin 1"
7292,"UBE2D2",0.4038,0,"NA","ubiquitin conjugating enzyme E2 D2"
7293,"TXLNB",0.4038,0.165,"NA","taxilin beta"
7294,"DLL3",0.4037,-0.01,"NA","delta like canonical Notch ligand 3"
7295,"DUSP11",0.4036,-0.195,"NA","dual specificity phosphatase 11"
7296,"IDH2",0.4036,0.025,"NA","isocitrate dehydrogenase (NADP(+)) 2"
7297,"TUBGCP2",0.4035,-1.3,"NA","tubulin gamma complex associated protein 2"
7298,"TAAR1",0.4035,0.06,"NA","trace amine associated receptor 1"
7299,"CD19",0.4034,-0.105,"NA","CD19 molecule"
7300,"GABRA4",0.4033,-0.005,"NA","gamma-aminobutyric acid type A receptor subunit alpha4"
7301,"NABP1",0.4033,0.05,"NA","nucleic acid binding protein 1"
7302,"PGA3",0.4032,0.06,"NA","pepsinogen A3"
7303,"H3C4",0.4031,,,
7304,"KCNB2",0.4031,0.065,"NA","potassium voltage-gated channel subfamily B member 2"
7305,"UST",0.403,0.135,"NA","uronyl 2-sulfotransferase"
7306,"ZBP1",0.403,0.09,"NA","Z-DNA binding protein 1"
7307,"H2AC18",0.4029,,,
7308,"LRRN1",0.4028,0.135,"NA","leucine rich repeats and calponin homology domain containing 4"
7309,"SAMD10",0.4028,-0.04,"NA","sterile alpha motif domain containing 10"
7310,"MUC17",0.4027,-0.045,"NA","mucin 17"
7311,"LRRC75B",0.4027,-0.215,"NA","leucine rich repeat containing 75B"
7312,"ACOXL",0.4026,-0.225,"NA","acyl-CoA oxidase like"
7313,"TFDP3",0.4026,0.025,"TF","transcription factor Dp family member 3"
7314,"KRT78",0.4025,-0.055,"NA","keratin 78"
7315,"TMEM80",0.4025,-0.09,"NA","transmembrane protein 80"
7316,"MFHAS1",0.4024,0.195,"NA","malignant fibrous histiocytoma amplified sequence 1"
7317,"PRAMEF12",0.4023,-0.165,"NA","PRAME family member 12"
7318,"PDP2",0.4022,-0.115,"NA","pyruvate dehyrogenase phosphatase catalytic subunit 2"
7319,"GSTM5",0.4022,-0.235,"NA","glutathione S-transferase mu 5"
7320,"CEACAM20",0.4021,,,
7321,"NDUFA4",0.4021,-0.45,"NA","NDUFA4 mitochondrial complex associated"
7322,"CD93",0.402,0.075,"NA","CD93 molecule"
7323,"PLEKHA2",0.402,,,
7324,"FUT1",0.4019,-0.07,"NA","fucosyltransferase 1 (H blood group)"
7325,"AMOTL1",0.4019,0.005,"NA","angiomotin like 1"
7326,"ZNF462",0.4018,0.05,"TF","zinc finger protein 462"
7327,"FSTL4",0.4018,0.02,"NA","follistatin like 4"
7328,"PICK1",0.4017,-0.15,"NA","protein interacting with PRKCA 1"
7329,"LPO",0.4016,-0.12,"NA","lactoperoxidase"
7330,"FAIM2",0.4016,0.02,"NA","Fas apoptotic inhibitory molecule 2"
7331,"NUAK2",0.4015,-0.11,"Kinase","NUAK family kinase 2"
7332,"HORMAD2",0.4015,-0.14,"NA","HORMA domain containing 2"
7333,"DHH",0.4014,-0.175,"NA","desert hedgehog signaling molecule"
7334,"ATAT1",0.4014,0.045,"NA","alpha tubulin acetyltransferase 1"
7335,"CDON",0.4013,-0.015,"NA","cell adhesion associated"
7336,"AKAP3",0.4013,-0.09,"NA","A-kinase anchoring protein 3"
7337,"ADAP2",0.4012,-0.22,"NA","ArfGAP with dual PH domains 2"
7338,"SDC4",0.4011,-0.01,"NA","syndecan 4"
7339,"TIMM13",0.401,-1.09,"NA","translocase of inner mitochondrial membrane 13"
7340,"ERICH6",0.401,-0.105,"NA","glutamate rich 6"
7341,"ADAM29",0.4009,0.1,"NA","ADAM metallopeptidase domain 29"
7342,"RNPS1",0.4009,-0.895,"NA","RNA binding protein with serine rich domain 1"
7343,"SYAP1",0.4008,0.04,"NA","synapse associated protein 1"
7344,"CARNS1",0.4008,-0.17,"NA","carnosine synthase 1"
7345,"NXPH2",0.4007,0.11,"NA","neurexophilin 2"
7346,"TMCC2",0.4007,-0.025,"NA","transmembrane and coiled-coil domain family 2"
7347,"INTS1",0.4006,-1.025,"NA","integrator complex subunit 1"
7348,"SNAP91",0.4006,-0.095,"NA","synaptosome associated protein 91"
7349,"ZNF253",0.4005,-0.215,"TF","zinc finger protein 253"
7350,"SLC10A6",0.4004,0.015,"NA","solute carrier family 10 member 6"
7351,"PI4K2A",0.4004,-0.17,"NA","phosphatidylinositol 4-kinase type 2 alpha"
7352,"DYNLT5",0.4003,,,
7353,"HCRT",0.4003,-0.095,"NA","hypocretin neuropeptide precursor"
7354,"ZDHHC18",0.4002,-0.27,"NA","zinc finger DHHC-type palmitoyltransferase 18"
7355,"FAM187B",0.4001,-0.01,"NA","family with sequence similarity 187 member B"
7356,"ATP5F1D",0.4001,-0.885,"NA","ATP synthase F1 subunit delta"
7357,"PDCD10",0.4,0.3,"NA","programmed cell death 10"
7358,"STIMATE",0.4,-0.095,"NA","STIM activating enhancer"
7359,"GABARAPL1",0.3999,0.115,"NA","GABA type A receptor associated protein like 1"
7360,"IP6K1",0.3998,-0.03,"NA","inositol hexakisphosphate kinase 1"
7361,"SH3TC1",0.3998,0.145,"NA","SH3 domain and tetratricopeptide repeats 1"
7362,"RGPD8",0.3997,,,
7363,"LARP7",0.3997,-0.09,"NA","La ribonucleoprotein 7"
7364,"URM1",0.3996,-0.745,"NA","ubiquitin related modifier 1"
7365,"TRA2A",0.3996,-0.095,"NA","transformer 2 alpha homolog"
7366,"HVCN1",0.3995,-0.085,"NA","hydrogen voltage gated channel 1"
7367,"ADGRF4",0.3995,0.045,"NA","adhesion G protein-coupled receptor F4"
7368,"CCSER1",0.3994,-0.015,"NA","coiled-coil serine rich protein 1"
7369,"LRRC39",0.3994,-0.145,"NA","leucine rich repeat containing 39"
7370,"VAMP4",0.3993,-0.035,"NA","vesicle associated membrane protein 4"
