"Rank","Genes ranked in the direction 1","'-log10(RRA score)'","KO essential score","Brief feature","Description"
15007,"MMS22L",0,-1.425,"NA","MMS22 like"
15008,"MOAP1",0,0.04,"NA","modulator of apoptosis 1"
15009,"MOB3B",0,-0.005,"NA","MOB kinase activator 3B"
15010,"MOB3C",0,-0.045,"NA","MOB kinase activator 3C"
15011,"MOB4",0,-0.695,"NA","MOB family member 4"
15012,"MOG",0,-0.355,"NA","myelin oligodendrocyte glycoprotein"
15013,"MOGAT1",0,0.04,"NA","monoacylglycerol O-acyltransferase 1"
15014,"MORF4L2",0,-0.07,"ChroRemod","mortality factor 4 like 2"
15015,"MORN2",0,0.01,"NA","MORN repeat containing 2"
15016,"MOS",0,-0.14,"Kinase","MOS proto-oncogene"
15017,"MOSPD2",0,0.125,"NA","motile sperm domain containing 2"
15018,"MOXD1",0,0.065,"NA","monooxygenase DBH like 1"
15019,"MPHOSPH10",0,-1.04,"NA","M-phase phosphoprotein 10"
15020,"MPHOSPH9",0,-0.095,"NA","M-phase phosphoprotein 9"
15021,"MPI",0,-0.14,"NA","mannose phosphate isomerase"
15022,"MPP2",0,-0.21,"NA","membrane palmitoylated protein 2"
15023,"MPP3",0,-0.295,"NA","membrane palmitoylated protein 3"
15024,"MPP7",0,0.055,"NA","membrane palmitoylated protein 7"
15025,"MPV17",0,-0.12,"NA","mitochondrial inner membrane protein MPV17"
15026,"MPZ",0,-0.05,"NA","myelin protein zero"
15027,"MRE11",0,-0.46,"NA","MRE11 homolog"
15028,"MRFAP1L1",0,0.01,"NA","Morf4 family associated protein 1 like 1"
15029,"MRGBP",0,-0.77,"NA","MRG domain binding protein"
15030,"MRM3",0,-0.23,"NA","mitochondrial rRNA methyltransferase 3"
15031,"MROH2B",0,0.115,"NA","maestro heat like repeat family member 2B"
15032,"MROH6",0,-0.15,"NA","maestro heat like repeat family member 6"
15033,"MROH9",0,0.05,"NA","maestro heat like repeat family member 9"
15034,"MRPL1",0,-0.35,"NA","mitochondrial ribosomal protein L1"
15035,"MRPL2",0,-0.405,"NA","mitochondrial ribosomal protein L2"
15036,"MRPL20",0,-0.46,"NA","mitochondrial ribosomal protein L20"
15037,"MRPL37",0,-0.56,"NA","mitochondrial ribosomal protein L37"
15038,"MRPL39",0,-0.64,"NA","mitochondrial ribosomal protein L39"
15039,"MRPL41",0,-0.8,"NA","mitochondrial ribosomal protein L41"
15040,"MRPL43",0,-0.735,"NA","mitochondrial ribosomal protein L43"
15041,"MRPL45",0,-0.705,"NA","mitochondrial ribosomal protein L45"
15042,"MRPL47",0,-0.445,"NA","mitochondrial ribosomal protein L47"
15043,"MRPL48",0,-0.45,"NA","mitochondrial ribosomal protein L48"
