"Rank","Genes ranked in the direction 1","'-log10(RRA score)'","KO essential score","Brief feature","Description"
1,"VN1R3",5.7451,,,
2,"OAS1",4.481,-0.01,"NA","2'-5'-oligoadenylate synthetase 1"
3,"GDAP2",4.0728,-0.09,"NA","ganglioside induced differentiation associated protein 2"
4,"GP9",3.8552,-0.115,"NA","glycoprotein IX platelet"
5,"IFI44L",3.7432,-0.145,"NA","interferon induced protein 44 like"
6,"PTPN14",3.7432,0.22,"NA","protein tyrosine phosphatase non-receptor type 14"
7,"ME3",3.5867,0.055,"NA","malic enzyme 3"
8,"MRPL44",3.4617,-0.405,"NA","mitochondrial ribosomal protein L44"
9,"CACNA2D4",3.4422,0.045,"NA","calcium voltage-gated channel auxiliary subunit alpha2delta 4"
10,"ID3",3.4422,-0.065,"TF","inhibitor of DNA binding 3"
11,"TIGD4",3.3064,-0.125,"TF","tigger transposable element derived 4"
12,"COMMD2",3.2661,-0.125,"NA","COMM domain containing 2"
13,"RPLP1",3.1412,-1.215,"NA","ribosomal protein lateral stalk subunit P1"
14,"AFG3L2",3.1026,-1.055,"NA","AFG3 like matrix AAA peptidase subunit 2"
15,"TGS1",3.0443,-0.765,"NA","trimethylguanosine synthase 1"
16,"FOXC1",2.9651,0.055,"TF","forkhead box C1"
17,"PRAMEF9",2.9651,-0.535,"NA","PRAME family member 9"
18,"AKAP4",2.9393,0.02,"NA","A-kinase anchoring protein 4"
19,"C8B",2.8982,0.12,"NA","complement C8 beta chain"
20,"KHSRP",2.8982,-0.245,"TF","KH-type splicing regulatory protein"
21,"DELE1",2.8405,0,"NA","DAP3 binding cell death enhancer 1"
22,"CLDN3",2.8402,0.07,"NA","claudin 3"
23,"KCNJ3",2.8402,-0.135,"NA","potassium inwardly rectifying channel subfamily J member 3"
24,"TFEB",2.8075,-0.035,"TF","transcription factor EB"
25,"GALNT7",2.8033,0.16,"NA","polypeptide N-acetylgalactosaminyltransferase 7"
26,"RAB15",2.7891,-0.11,"NA","RAB15"
27,"SCGB1C2",2.7584,,,
28,"MAMDC4",2.7433,0.05,"NA","MAM domain containing 4"
29,"POU4F1",2.7433,0.04,"TF","POU class 4 homeobox 1"
30,"IGSF10",2.7194,-0.085,"NA","immunoglobulin superfamily member 10"
31,"FKBP9",2.7019,0.035,"NA","FKBP prolyl isomerase 9"
32,"SLC25A34",2.7019,-0.07,"NA","solute carrier family 25 member 34"
33,"SESN3",2.7006,0.04,"NA","sestrin 3"
34,"DSE",2.6653,0.12,"NA","dermatan sulfate epimerase"
35,"DENND6B",2.6642,0.035,"NA","DENN domain containing 6B"
36,"SRRM2",2.6642,-0.465,"NA","serine/arginine repetitive matrix 2"
37,"TMEM167A",2.6569,-0.41,"NA","transmembrane protein 167A"
38,"OR5H6",2.6394,0.1,"NA","olfactory receptor family 5 subfamily H member 6 (gene/pseudogene)"
39,"CDH19",2.6294,0.05,"NA","cadherin 19"
40,"FAM111A",2.6294,0.065,"NA","family with sequence similarity 111 member A"
41,"WWC2",2.6132,-0.03,"NA","WW and C2 domain containing 2"
42,"TES",2.5972,0.015,"NA","testin LIM domain protein"
43,"KCNA7",2.591,-0.13,"NA","potassium voltage-gated channel subfamily A member 7"
44,"TIMP4",2.5855,0.195,"NA","TIMP metallopeptidase inhibitor 4"
45,"SRD5A1",2.5673,0.135,"NA","steroid 5 alpha-reductase 1"
46,"LMO1",2.5566,0.085,"ChroRemod","LIM domain only 1"
47,"SPIN1",2.5566,0.035,"NA","spindlin 1"
48,"TCAF2C",2.5461,,,
49,"SERPINH1",2.5393,0.195,"NA","serpin family H member 1"
50,"DHX58",2.5317,-0.12,"NA","DExH-box helicase 58"
51,"USP17L8",2.5246,,,
52,"CD209",2.5236,-0.01,"NA","CD209 molecule"
53,"MRPS33",2.5195,-0.19,"NA","mitochondrial ribosomal protein S33"
54,"ADAM28",2.5129,0.135,"NA","ADAM metallopeptidase domain 28"
55,"BCL2A1",2.5129,-0.075,"NA","BCL2 related protein A1"
56,"PELI1",2.5105,0.05,"NA","pellino E3 ubiquitin protein ligase 1"
57,"SPAM1",2.4907,0.06,"NA","sperm adhesion molecule 1"
58,"ABL1",2.4881,-0.01,"Kinase","ABL proto-oncogene 1"
59,"TRIM29",2.4881,0.045,"NA","tripartite motif containing 29"
60,"C14orf93",2.4733,-0.055,"NA","chromosome 14 open reading frame 93"
61,"TREML1",2.4676,-0.07,"NA","triggering receptor expressed on myeloid cells like 1"
62,"C14orf132",2.4676,,,
63,"CEP120",2.4646,0.025,"NA","centrosomal protein 120"
64,"PSD",2.4646,-0.02,"NA","pleckstrin and Sec7 domain containing"
65,"C15orf40",2.4554,-0.02,"NA","chromosome 15 open reading frame 40"
66,"CCKAR",2.4424,0.075,"NA","cholecystokinin A receptor"
67,"YPEL4",2.4424,-0.155,"NA","yippee like 4"
68,"NR2F6",2.4313,-0.07,"TF","nuclear receptor subfamily 2 group F member 6"
69,"C10orf62",2.4268,0.04,"NA","chromosome 10 open reading frame 62"
70,"PARVG",2.4232,0.24,"NA","parvin gamma"
71,"ETNK2",2.4212,-0.045,"NA","ethanolamine kinase 2"
72,"EIF2B1",2.4115,-1.045,"NA","eukaryotic translation initiation factor 2B subunit alpha"
73,"CHD4",2.4097,-1.085,"ChroRemod","chromodomain helicase DNA binding protein 4"
74,"NHSL1",2.401,0.025,"NA","NHS like 1"
75,"MMP15",2.3965,-0.075,"NA","matrix metallopeptidase 15"
76,"PLEKHA3",2.3913,0.015,"NA","pleckstrin homology domain containing A3"
77,"FANCM",2.3887,-0.35,"NA","FA complementation group M"
78,"SLC33A1",2.3835,-0.22,"NA","solute carrier family 33 member 1"
79,"MPL",2.3732,-0.06,"NA","MPL proto-oncogene"
80,"AKR1D1",2.3723,-0.14,"NA","aldo-keto reductase family 1 member D1"
81,"SYT12",2.3706,-0.125,"NA","synaptotagmin 12"
82,"PAX9",2.3647,0.06,"TF","paired box 9"
83,"EVX1",2.3638,0.115,"TF","even-skipped homeobox 1"
84,"PAF1",2.3632,-0.87,"NA","PAF1 homolog"
85,"RNF222",2.3632,0.02,"NA","ring finger protein 222"
86,"HNRNPM",2.3513,-0.93,"NA","heterogeneous nuclear ribonucleoprotein M"
87,"PRSS42P",2.3471,,,
88,"PELO",2.3463,-0.9,"NA","pelota mRNA surveillance and ribosome rescue factor"
89,"MLH1",2.3455,-0.115,"NA","mutL homolog 1"
90,"SLC5A8",2.3455,-0.035,"NA","solute carrier family 5 member 8"
91,"RRAGC",2.3285,-0.345,"NA","Ras related GTP binding C"
92,"SPTA1",2.3285,-0.005,"NA","spectrin alpha"
93,"DOLPP1",2.3275,-0.275,"NA","dolichyldiphosphatase 1"
94,"C16orf89",2.3243,-0.135,"NA","chromosome 16 open reading frame 89"
95,"NME8",2.3121,-0.045,"NA","NME/NM23 family member 8"
96,"TNFRSF17",2.3121,-0.085,"NA","TNF receptor superfamily member 17"
97,"NMBR",2.3083,0.07,"NA","neuromedin B receptor"
98,"OR7G3",2.3059,-0.14,"NA","olfactory receptor family 7 subfamily G member 3"
99,"FANCA",2.2965,-0.2,"NA","FA complementation group A"
100,"DIP2C",2.2963,0.16,"NA","disco interacting protein 2 homolog C"
101,"TEKT1",2.2963,-0.075,"NA","tektin 1"
102,"GOLPH3",2.2942,0.11,"NA","golgi phosphoprotein 3"
103,"MINDY3",2.2934,0.07,"NA","MINDY lysine 48 deubiquitinase 3"
104,"ART2BP",2.2811,,,
105,"FLACC1",2.2696,,,
106,"EZH2",2.2664,-0.075,"ChroRemod","enhancer of zeste 2 polycomb repressive complex 2 subunit"
107,"POP4",2.2664,-0.835,"NA","POP4 homolog"
108,"RTEL1",2.2651,-0.57,"NA","regulator of telomere elongation helicase 1"
109,"CYTH4",2.2522,-0.07,"NA","cytohesin 4"
110,"ZNF860",2.2522,0.02,"TF","zinc finger protein 860"
111,"WAPL",2.2384,-0.4,"NA","WAPL cohesin release factor"
112,"GALNT11",2.2355,0.115,"NA","polypeptide N-acetylgalactosaminyltransferase 11"
113,"TM9SF2",2.2312,-0.18,"NA","transmembrane 9 superfamily member 2"
114,"FAM13B",2.2261,-0.04,"NA","family with sequence similarity 13 member B"
115,"SLC35B3",2.225,0.2,"NA","solute carrier family 35 member B3"
116,"REEP1",2.224,-0.285,"NA","receptor accessory protein 1"
117,"OCRL",2.2189,-0.04,"NA","OCRL inositol polyphosphate-5-phosphatase"
118,"PRR15L",2.214,-0.185,"NA","NA"
119,"ZNF606",2.2125,-0.065,"TF","zinc finger protein 606"
120,"CGRRF1",2.2121,-0.025,"NA","cell growth regulator with ring finger domain 1"
121,"ZNF274",2.2121,,,
122,"KRTAP1-5",2.202,,,
123,"ATP4B",2.1873,0.07,"NA","ATPase H+/K+ transporting subunit beta"
124,"PLEKHA2",2.1873,,,
125,"TLN1",2.1847,-0.55,"NA","talin 1"
126,"DAAM2",2.184,0.03,"NA","dishevelled associated activator of morphogenesis 2"
127,"DYSF",2.1754,-0.02,"NA","dysferlin"
128,"MYADM",2.1754,-0.09,"NA","myeloid associated differentiation marker"
129,"MAPK12",2.1744,0.02,"Kinase","mitogen-activated protein kinase 12"
130,"ZFP14",2.1724,0.025,"TF","NA"
131,"C5orf24",2.1638,0.045,"NA","chromosome 5 open reading frame 24"
132,"UBXN8",2.1638,,,
133,"BTG1",2.1603,-0.1,"ChroRemod","BTG anti-proliferation factor 1"
134,"ZNF124",2.1583,-0.115,"TF","zinc finger protein 124"
135,"SMPDL3B",2.1556,0.005,"NA","sphingomyelin phosphodiesterase acid like 3B"
136,"CCDC169",2.1525,0.07,"NA","coiled-coil domain containing 169"
137,"TRAF4",2.1525,-0.235,"NA","TNF receptor associated factor 4"
138,"OR7E24",2.1415,-0.13,"NA","olfactory receptor family 7 subfamily E member 24"
139,"SLC39A12",2.1415,0.125,"NA","solute carrier family 39 member 12"
140,"HNRNPA3",2.1412,-0.14,"NA","heterogeneous nuclear ribonucleoprotein A3"
141,"THAP3",2.1412,-0.225,"TF","THAP domain containing 3"
142,"SERF2",2.1405,-0.355,"NA","small EDRK-rich factor 2"
143,"EDN1",2.136,0.02,"NA","endothelin 1"
144,"RTL3",2.1334,0.045,"NA","retrotransposon Gag like 3"
145,"CDKN2C",2.1308,0.25,"NA","cyclin dependent kinase inhibitor 2C"
146,"TRIP12",2.1308,-0.235,"NA","thyroid hormone receptor interactor 12"
147,"MRGPRX4",2.1295,0.005,"NA","MAS related GPR family member X4"
148,"ALG12",2.1269,-0.155,"NA","ALG12 alpha-1"
149,"RIPK4",2.1269,-0.035,"Kinase","receptor interacting serine/threonine kinase 4"
150,"ZFYVE27",2.1244,-0.175,"NA","zinc finger FYVE-type containing 27"
151,"GJB4",2.1204,-0.09,"NA","gap junction protein beta 4"
152,"PCDHA8",2.1204,-0.08,"NA","protocadherin alpha 8"
153,"EIF3J",2.1135,-0.545,"NA","eukaryotic translation initiation factor 3 subunit J"
154,"GPS2",2.1102,-0.045,"ChroRemod","G protein pathway suppressor 2"
155,"MYH6",2.1102,-0.095,"NA","myosin heavy chain 6"
156,"CYP2C9",2.1091,-0.03,"NA","cytochrome P450 family 2 subfamily C member 9"
157,"GNE",2.1066,-0.035,"NA","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"
158,"INCENP",2.101,-1.28,"NA","inner centromere protein"
159,"CCL11",2.1002,0.09,"NA","C-C motif chemokine ligand 11"
160,"RPP25L",2.1002,-0.375,"NA","ribonuclease P/MRP subunit p25 like"
161,"TNIP3",2.0991,-0.045,"NA","TNFAIP3 interacting protein 3"
162,"ERN2",2.0979,-0.03,"Kinase","endoplasmic reticulum to nucleus signaling 2"
163,"ANKIB1",2.0966,-0.06,"NA","ankyrin repeat and IBR domain containing 1"
164,"MYDGF",2.0904,-0.06,"NA","myeloid derived growth factor"
165,"ST18",2.0904,0.065,"TF","ST18 C2H2C-type zinc finger transcription factor"
166,"TMEM132A",2.0899,-0.065,"NA","transmembrane protein 132A"
167,"IFIT3",2.0837,0.05,"NA","interferon induced protein with tetratricopeptide repeats 3"
168,"STRIP2",2.0825,-0.01,"NA","striatin interacting protein 2"
169,"ADAMTS13",2.0809,-0.045,"NA","ADAM metallopeptidase with thrombospondin type 1 motif 13"
170,"MGST2",2.077,-0.08,"NA","microsomal glutathione S-transferase 2"
171,"NOP53",2.0716,-0.73,"NA","NOP53 ribosome biogenesis factor"
172,"RNF207",2.0716,-0.125,"NA","ring finger protein 207"
173,"POU1F1",2.0698,-0.015,"TF","POU class 1 homeobox 1"
174,"SLC38A2",2.0596,-0.345,"NA","solute carrier family 38 member 2"
175,"KCNH5",2.0573,-0.1,"NA","potassium voltage-gated channel subfamily H member 5"
176,"MRPL11",2.0537,-0.315,"NA","mitochondrial ribosomal protein L11"
177,"MGRN1",2.0535,0.005,"NA","mahogunin ring finger 1"
178,"SH3KBP1",2.0535,0.19,"NA","SH3 domain containing kinase binding protein 1"
179,"GADD45A",2.0484,0.06,"NA","growth arrest and DNA damage inducible alpha"
180,"MMP1",2.0478,0.165,"NA","matrix metallopeptidase 1"
181,"OR2AP1",2.0455,-0.05,"NA","olfactory receptor family 2 subfamily AP member 1"
182,"UGT2B10",2.0447,-0.58,"NA","UDP glucuronosyltransferase family 2 member B10"
183,"AMY1C",2.0447,,,
184,"CHDH",2.0361,0.04,"NA","choline dehydrogenase"
185,"CLN3",2.0361,0.07,"NA","CLN3 lysosomal/endosomal transmembrane protein"
186,"THEM6",2.0277,-0.005,"NA","thioesterase superfamily member 6"
187,"CALHM5",2.0247,0.095,"NA","calcium homeostasis modulator family member 5"
188,"WDR48",2.0241,-0.49,"NA","WD repeat domain 48"
189,"PSMD2",2.0218,-1.29,"NA","proteasome 26S subunit"
190,"PDCD1",2.0195,0.015,"NA","programmed cell death 1"
191,"SCN7A",2.0195,0.065,"NA","sodium voltage-gated channel alpha subunit 7"
192,"CS",2.0167,-0.4,"NA","citrate synthase"
193,"GSTZ1",2.0114,0.075,"NA","glutathione S-transferase zeta 1"
194,"RMC1",2.0114,-0.015,"NA","regulator of MON1-CCZ1"
195,"PCDHB15",2.0089,-0.1,"NA","protocadherin beta 15"
196,"RGMA",2.0034,-0.005,"NA","NA"
197,"SULT2B1",2.0034,-0.205,"NA","sulfotransferase family 2B member 1"
198,"ITGA6",2.001,-0.16,"NA","integrin subunit alpha 6"
199,"ZDHHC23",1.9983,0.045,"NA","zinc finger DHHC-type palmitoyltransferase 23"
200,"GALNT6",1.9956,-0.075,"NA","polypeptide N-acetylgalactosaminyltransferase 6"
201,"NDUFV1",1.99,-0.43,"NA","NADH:ubiquinone oxidoreductase core subunit V1"
202,"NEURL4",1.9879,-0.1,"NA","neuralized E3 ubiquitin protein ligase 4"
203,"TMTC1",1.9862,0.11,"NA","transmembrane O-mannosyltransferase targeting cadherins 1"
204,"PRPH2",1.9829,0.125,"NA","peripherin 2"
205,"CCBE1",1.9813,0.06,"NA","collagen and calcium binding EGF domains 1"
206,"SUN2",1.9804,-0.075,"NA","Sad1 and UNC84 domain containing 2"
207,"TRUB1",1.9804,0.075,"NA","TruB pseudouridine synthase family member 1"
208,"IL33",1.9791,0.195,"NA","interleukin 33"
209,"SERPINB6",1.9775,0.025,"NA","serpin family B member 6"
210,"CSTA",1.9753,-0.09,"NA","cystatin A"
211,"ERP29",1.9748,-0.08,"NA","endoplasmic reticulum protein 29"
212,"RAD54L2",1.9729,-0.22,"ChroRemod","RAD54 like 2"
213,"OR2A42",1.9729,,,
214,"RCC1",1.9694,-1.525,"NA","regulator of chromosome condensation 1"
215,"KDM4D",1.9657,0.1,"ChroRemod","lysine demethylase 4D"
216,"GLRA3",1.9588,0.045,"NA","glycine receptor alpha 3"
217,"MGA",1.9585,-0.215,"TF","MAX dimerization protein MGA"
218,"SLC19A1",1.9535,0.03,"NA","solute carrier family 19 member 1"
219,"RNF138",1.9519,-0.055,"ChroRemod","ring finger protein 138"
220,"RIN3",1.9514,-0.05,"NA","NA"
221,"CLIC5",1.9504,0.08,"NA","chloride intracellular channel 5"
222,"SBF2",1.9483,0.095,"NA","SET binding factor 2"
223,"KLHL38",1.9445,-0.105,"NA","kelch like family member 38"
224,"PYCR3",1.9445,-0.075,"NA","pyrroline-5-carboxylate reductase 3"
225,"HLA-G",1.942,,,
226,"SLC17A8",1.9377,0.005,"NA","solute carrier family 17 member 8"
227,"PA2G4",1.9343,-0.535,"TF","proliferation-associated 2G4"
228,"DNALI1",1.9309,-0.005,"NA","dynein axonemal light intermediate chain 1"
229,"PLXNA4",1.9309,0.055,"NA","plexin A4"
230,"NFRKB",1.9281,-0.49,"TF","nuclear factor related to kappaB binding protein"
231,"INTS15",1.9243,,,
232,"SMCO3",1.9215,0.155,"NA","single-pass membrane protein with coiled-coil domains 3"
233,"MTA2",1.9178,-0.285,"TF","metastasis associated 1 family member 2"
234,"DNAH8",1.9178,,,
235,"ARHGAP31",1.9159,-0.065,"NA","Rho GTPase activating protein 31"
236,"FILIP1L",1.9154,0.01,"NA","filamin A interacting protein 1 like"
237,"AOC1",1.9139,-0.105,"NA","amine oxidase copper containing 1"
238,"CEP97",1.9114,-0.395,"NA","centrosomal protein 97"
239,"ZHX2",1.9114,0.125,"TF","zinc fingers and homeoboxes 2"
240,"PEX3",1.905,0.015,"NA","peroxisomal biogenesis factor 3"
241,"TXNDC12",1.905,-0.155,"NA","thioredoxin domain containing 12"
242,"NTS",1.9049,0.01,"NA","neurotensin"
243,"FAHD2B",1.9039,-0.27,"NA","fumarylacetoacetate hydrolase domain containing 2B"
244,"SMO",1.9029,-0.105,"NA","smoothened"
245,"SEMA4C",1.899,-0.085,"NA","semaphorin 4C"
246,"DHX34",1.8988,0.035,"NA","DExH-box helicase 34"
247,"NEK4",1.8988,-0.045,"Kinase","NIMA related kinase 4"
248,"WWOX",1.897,0.11,"NA","WW domain containing oxidoreductase"
249,"ICMT",1.8936,-0.22,"ChroRemod","isoprenylcysteine carboxyl methyltransferase"
250,"ELOVL4",1.8931,-0.105,"NA","ELOVL fatty acid elongase 4"
251,"RNASE10",1.8927,-0.01,"NA","ribonuclease A family member 10 (inactive)"
252,"PDZD11",1.8901,-0.1,"NA","PDZ domain containing 11"
253,"OR5B3",1.8892,-0.065,"NA","olfactory receptor family 5 subfamily B member 3"
254,"CD300LB",1.8887,0.03,"NA","CD300 molecule like family member b"
255,"P4HTM",1.8866,-0.165,"NA","prolyl 4-hydroxylase"
256,"SH3BGRL",1.8866,-0.065,"NA","SH3 domain binding glutamate rich protein like"
257,"FAM184A",1.8819,0.02,"NA","family with sequence similarity 184 member A"
258,"UBE2M",1.8806,-1.26,"NA","ubiquitin conjugating enzyme E2 M"
259,"SNX9",1.878,0.02,"NA","sorting nexin 9"
260,"GTF2F1",1.8775,-0.7,"ChroRemod","general transcription factor IIF subunit 1"
261,"SLC13A3",1.8747,0.03,"NA","solute carrier family 13 member 3"
262,"VAPB",1.8747,0.095,"NA","VAMP associated protein B and C"
263,"IFIT1B",1.8732,-0.025,"NA","interferon induced protein with tetratricopeptide repeats 1B"
264,"OR5P2",1.8727,0.04,"NA","olfactory receptor family 5 subfamily P member 2"
265,"CDKN2AIPNL",1.8689,-0.08,"NA","CDKN2A interacting protein N-terminal like"
266,"LY6D",1.8689,0.07,"NA","lymphocyte antigen 6 family member D"
267,"CD81",1.8631,0.025,"NA","CD81 molecule"
268,"PRSS3P2",1.8622,,,
269,"BNC2",1.8589,0.055,"TF","basonuclin 2"
270,"IFI27L1",1.8575,-0.075,"NA","interferon alpha inducible protein 27 like 1"
271,"MAGEB6B",1.8575,,,
272,"GRIP1",1.8556,0.03,"ChroRemod","glutamate receptor interacting protein 1"
273,"COP1",1.8533,-0.255,"NA","COP1 E3 ubiquitin ligase"
274,"DNAJC5B",1.8519,0.005,"NA","DnaJ heat shock protein family (Hsp40) member C5 beta"
275,"EIF3M",1.8514,-0.97,"NA","eukaryotic translation initiation factor 3 subunit M"
276,"ADAMTSL5",1.8505,-0.23,"NA","ADAMTS like 5"
277,"UBTD1",1.8486,0.09,"NA","ubiquitin domain containing 1"
278,"CD1D",1.8482,-0.175,"NA","CD1d molecule"
279,"DLD",1.8472,-0.285,"NA","dihydrolipoamide dehydrogenase"
280,"UTP11",1.8464,-0.91,"NA","UTP11 small subunit processome component"
281,"PEX11G",1.8454,0.08,"NA","peroxisomal biogenesis factor 11 gamma"
282,"TNNT2",1.8409,-0.4,"NA","troponin T2"
283,"PTTG3P",1.8409,,,
284,"H2AC8",1.8398,,,
285,"CDK4",1.8366,-0.6,"Kinase","cyclin dependent kinase 4"
286,"CBLL1",1.8355,-0.43,"NA","Cbl proto-oncogene like 1"
287,"METTL23",1.8355,-0.325,"NA","methyltransferase like 23"
288,"RNF40",1.8325,-0.52,"NA","ring finger protein 40"
289,"VIM",1.8302,0.1,"NA","vimentin"
290,"FLNA",1.8293,0.105,"NA","filamin A"
291,"STK4",1.8293,-0.01,"Kinase","serine/threonine kinase 4"
292,"MPPED2",1.827,0.06,"NA","metallophosphoesterase domain containing 2"
293,"ZFP62",1.825,0.08,"TF","ZFP62 zinc finger protein"
294,"CES2",1.8243,-0.06,"NA","carboxylesterase 2"
295,"ZNF512",1.8216,-0.095,"TF","zinc finger protein 512"
296,"LY6G5C",1.8198,-0.04,"NA","lymphocyte antigen 6 family member G5C"
297,"SPEM1",1.8198,-0.05,"NA","spermatid maturation 1"
298,"IFT57",1.8193,-0.14,"NA","intraflagellar transport 57"
299,"KLHDC10",1.8162,-0.05,"NA","kelch domain containing 10"
300,"KEL",1.8157,0.185,"NA","Kell metallo-endopeptidase (Kell blood group)"
301,"NABP2",1.8146,-0.22,"NA","nucleic acid binding protein 2"
302,"TMEM68",1.8146,0.045,"NA","transmembrane protein 68"
303,"SAP30BP",1.8135,-1.425,"ChroRemod","NA"
304,"GPAT4",1.8121,0.065,"NA","glycerol-3-phosphate acyltransferase 4"
305,"HDGFL1",1.8103,0.025,"NA","HDGF like 1"
306,"LRIG2",1.8096,-0.125,"NA","leucine rich repeats and immunoglobulin like domains 2"
307,"ITIH1",1.8072,-0.135,"NA","inter-alpha-trypsin inhibitor heavy chain 1"
308,"DNAAF9",1.8046,,,
309,"APBB1",1.7975,-0.05,"NA","amyloid beta precursor protein binding family B member 1"
310,"KLF9",1.7971,-0.045,"TF","Kruppel like factor 9"
311,"PLEKHD1",1.7962,0.045,"NA","pleckstrin homology and coiled-coil domain containing D1"
312,"JUN",1.7953,-0.22,"TF","Jun proto-oncogene"
313,"APAF1",1.7947,0.065,"NA","apoptotic peptidase activating factor 1"
314,"ZNF703",1.794,-0.005,"TF","zinc finger protein 703"
315,"TAFA1",1.7927,,,
316,"TTC38",1.7905,-0.035,"NA","tetratricopeptide repeat domain 38"
317,"SLC27A4",1.7899,-0.035,"NA","solute carrier family 27 member 4"
318,"ZSWIM5",1.7896,-0.075,"NA","zinc finger SWIM-type containing 5"
319,"SNRPC",1.7892,-1.01,"NA","small nuclear ribonucleoprotein polypeptide C"
320,"MTR",1.7851,-0.085,"NA","5-methyltetrahydrofolate-homocysteine methyltransferase"
321,"NTN4",1.7851,-0.07,"NA","netrin 4"
322,"PGAP4",1.784,,,
323,"ZNF8",1.7818,0.015,"TF","zinc finger protein 8"
324,"PTGS1",1.7814,0.07,"NA","prostaglandin-endoperoxide synthase 1"
325,"LAT2",1.7797,-0.12,"NA","linker for activation of T cells family member 2"
326,"CEACAM7",1.7792,-0.075,"NA","CEA cell adhesion molecule 7"
327,"RNF170",1.778,0,"NA","ring finger protein 170"
328,"NAT8B",1.778,,,
329,"PKD2L2",1.7762,0.035,"NA","polycystin 2 like 2"
330,"PTPRN2",1.7756,0.125,"NA","protein tyrosine phosphatase receptor type N2"
331,"TBC1D31",1.7756,-0.13,"NA","TBC1 domain family member 31"
332,"FYN",1.7737,0.04,"Kinase","FYN proto-oncogene"
333,"FAM135A",1.7724,0.035,"NA","family with sequence similarity 135 member A"
334,"CALCRL",1.771,0.09,"NA","calcitonin receptor like receptor"
335,"SLC45A2",1.7703,0.095,"NA","solute carrier family 45 member 2"
336,"TMEM168",1.7686,0.155,"NA","transmembrane protein 168"
337,"WFDC9",1.7673,-0.19,"NA","WAP four-disulfide core domain 9"
338,"GIPC2",1.7664,-0.035,"NA","GIPC PDZ domain containing family member 2"
339,"ATP6V0E2",1.7643,-0.02,"NA","ATPase H+ transporting V0 subunit e2"
340,"BBS12",1.7635,0.045,"NA","Bardet-Biedl syndrome 12"
341,"CORIN",1.7631,0.065,"NA","corin"
342,"SYT14",1.7622,0.08,"NA","synaptotagmin 14"
343,"ANO8",1.7619,-0.08,"NA","anoctamin 8"
344,"ECHDC2",1.7618,-0.185,"NA","enoyl-CoA hydratase domain containing 2"
345,"HCFC1R1",1.7605,-0.36,"NA","NA"
346,"TPM1",1.7574,-0.1,"NA","tropomyosin 1"
347,"TRMT61A",1.7559,-0.36,"NA","tRNA methyltransferase 61A"
348,"CD247",1.753,0.055,"NA","CD247 molecule"
349,"PRKCE",1.753,-0.08,"Kinase","protein kinase C epsilon"
350,"DHRS11",1.7486,-0.08,"NA","dehydrogenase/reductase 11"
351,"MRPS28",1.7486,-0.49,"NA","mitochondrial ribosomal protein S28"
352,"KAT5",1.748,-0.71,"ChroRemod","lysine acetyltransferase 5"
353,"TIAM2",1.7459,0.105,"NA","TIAM Rac1 associated GEF 2"
354,"CCDC163",1.7459,,,
355,"ECD",1.7442,-1.69,"NA","ecdysoneless cell cycle regulator"
356,"PMP2",1.7442,0.09,"NA","peripheral myelin protein 2"
357,"COL8A1",1.7426,-0.065,"NA","collagen type VIII alpha 1 chain"
358,"CTSA",1.7426,0.055,"NA","cathepsin A"
359,"DTX2",1.7422,-0.075,"NA","deltex E3 ubiquitin ligase 2"
360,"NLRP4",1.7418,0.01,"NA","NLR family pyrin domain containing 4"
361,"SIKE1",1.7418,-0.105,"NA","suppressor of IKBKE 1"
362,"LDOC1",1.741,0.01,"NA","LDOC1 regulator of NFKB signaling"
363,"PCDHA11",1.7399,-0.01,"NA","protocadherin alpha 11"
364,"UTP25",1.7399,-0.9,"NA","UTP25 small subunit processor component"
365,"TOP1",1.7373,-0.99,"NA","DNA topoisomerase I"
366,"OR4A8",1.7368,,,
367,"GPX2",1.7356,-0.135,"NA","glutathione peroxidase 2"
368,"TAAR4P",1.7356,,,
369,"RPL39",1.7348,-0.39,"NA","ribosomal protein L39"
370,"CHRDL2",1.7314,-0.06,"NA","chordin like 2"
371,"HS3ST3B1",1.7314,-0.055,"NA","heparan sulfate-glucosamine 3-sulfotransferase 3B1"
372,"NFKBIA",1.7272,-0.105,"ChroRemod","NFKB inhibitor alpha"
373,"VKORC1L1",1.7263,-0.19,"NA","vitamin K epoxide reductase complex subunit 1 like 1"
374,"RARRES2",1.7231,-0.05,"NA","retinoic acid receptor responder 2"
375,"SFTA2",1.7231,-0.3,"NA","surfactant associated 2"
376,"LCE3E",1.719,-0.215,"NA","late cornified envelope 3E"
377,"MYO15A",1.719,-0.28,"NA","myosin XVA"
378,"SOAT2",1.7162,-0.04,"NA","sterol O-acyltransferase 2"
379,"HLA-DQB2",1.7162,,,
380,"TBX20",1.7158,0.2,"TF","T-box transcription factor 20"
381,"RBFOX3",1.7149,-0.135,"NA","RNA binding fox-1 homolog 3"
382,"ZBTB7B",1.7149,-0.175,"TF","zinc finger and BTB domain containing 7B"
383,"TSPAN18",1.7138,-0.06,"NA","tetraspanin 18"
384,"ZSWIM2",1.713,-0.02,"NA","zinc finger SWIM-type containing 2"
385,"C1orf146",1.7122,-0.05,"NA","chromosome 1 open reading frame 146"
386,"ANKRD40",1.7109,-0.145,"NA","ankyrin repeat domain 40"
