id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
M6pr,4,0.34078,0.50938,0.999686,10422,1,0.10279,0.22669,0.982644,4743,3
1700067K01Rik,4,0.34111,0.50967,0.999686,10423,2,0.52914,0.67491,0.99901,13956,2
Has3,4,0.34117,0.50972,0.999686,10424,2,0.074307,0.18025,0.982644,3780,2
Tnfrsf13c,4,0.34142,0.50995,0.999686,10425,2,0.23161,0.41547,0.993092,8647,2
Id4,4,0.3415,0.51002,0.999686,10426,2,0.20765,0.38232,0.98616,7998,2
Sox13,4,0.34152,0.51004,0.999686,10427,2,0.078187,0.18675,0.982644,3908,2
Sbk2,4,0.34173,0.51022,0.999686,10428,2,0.10738,0.23396,0.982644,4891,1
C1qtnf7,4,0.34179,0.51027,0.999686,10429,2,0.20428,0.37758,0.98616,7896,2
Fhl5,4,0.34186,0.51032,0.999686,10430,2,0.58736,0.72249,0.999686,14882,2
Pcdha9,4,0.34194,0.5104,0.999686,10431,1,0.067287,0.16856,0.981041,3550,2
Scarb2,4,0.34195,0.5104,0.999686,10432,2,0.13698,0.27936,0.98511,5841,2
Tbc1d22a,4,0.342,0.51045,0.999686,10433,1,0.083888,0.19611,0.982644,4095,3
Morn3,4,0.34206,0.5105,0.999686,10434,1,0.0524,0.14298,0.97179,3041,3
Cyp4x1,4,0.34207,0.51051,0.999686,10435,2,0.31858,0.50568,0.994069,10463,2
SGR000121913.1_XPR003.1,1,0.34209,0.51053,0.999686,10436,1,0.65791,0.77437,0.999686,15921,0
Naca,4,0.34217,0.51059,0.999686,10437,2,0.21131,0.38747,0.987268,8113,2
Tescl,4,0.34222,0.51064,0.999686,10438,1,0.012785,0.040492,0.962674,858,3
Ppp1r14c,4,0.34226,0.51068,0.999686,10439,1,0.050217,0.13923,0.966696,2973,3
Tspan6,4,0.3423,0.51071,0.999686,10440,2,0.08804,0.20291,0.982644,4225,2
Tbck,4,0.34233,0.51074,0.999686,10442,2,0.04696,0.13192,0.964417,2819,2
Pard6g,4,0.34233,0.51074,0.999686,10441,2,0.53064,0.67614,0.99901,13978,2
Jarid2,4,0.34242,0.51083,0.999686,10443,2,0.44335,0.60583,0.99901,12518,2
Mansc1,4,0.3425,0.51089,0.999686,10444,2,0.49101,0.64404,0.99901,13313,2
Cd200,4,0.34255,0.51094,0.999686,10445,1,0.063811,0.16264,0.978281,3436,3
Sgpl1,4,0.34268,0.51104,0.999686,10446,2,0.37115,0.54778,0.994069,11385,2
Ralgds,4,0.34272,0.51108,0.999686,10447,2,0.59632,0.72981,0.999686,15047,1
Wdr70,4,0.3428,0.51115,0.999686,10449,2,0.45036,0.61147,0.99901,12635,2
Ltv1,4,0.3428,0.51115,0.999686,10448,2,0.89708,0.89889,0.999686,18485,1
Cadm4,4,0.34303,0.51135,0.999686,10450,2,0.19823,0.36911,0.98616,7726,2
1700019N19Rik,4,0.3431,0.5114,0.999686,10451,2,0.11633,0.2478,0.983029,5206,2
1700020N15Rik,4,0.34311,0.51141,0.999686,10452,2,0.66851,0.77827,0.999686,16009,1
Herpud1,4,0.34316,0.51146,0.999686,10453,1,0.20741,0.38198,0.98616,7991,2
Pigu,4,0.34328,0.51156,0.999686,10454,2,0.86302,0.87348,0.999686,17969,1
N6amt1,4,0.34336,0.51163,0.999686,10455,2,0.6148,0.74525,0.999686,15355,1
SGR000121635.1_XPR003.1,1,0.34337,0.51164,0.999686,10456,1,0.65663,0.77389,0.999686,15914,0
Pmm1,4,0.34339,0.51166,0.999686,10457,2,0.95428,0.95347,0.999686,19625,0
Arfgap1,4,0.34344,0.51169,0.999686,10458,2,0.93154,0.93096,0.999686,19177,0
Ythdf1,4,0.34348,0.51173,0.999686,10459,2,0.0009836,0.0035019,0.782025,92,1
Syde1,4,0.34353,0.51178,0.999686,10460,2,0.15718,0.30954,0.98511,6432,2
Inpp5d,4,0.34355,0.51179,0.999686,10461,1,0.029461,0.087048,0.962674,1838,3
Prrc2b,4,0.3437,0.51193,0.999686,10462,2,0.74709,0.81058,0.999686,16669,1
Gm1045,4,0.34371,0.51193,0.999686,10463,1,0.084715,0.19745,0.982644,4117,2
Vwa3a,4,0.34379,0.51201,0.999686,10464,2,0.17314,0.33313,0.98511,6960,2
Dgkb,4,0.34381,0.51202,0.999686,10465,2,0.11183,0.24091,0.982644,5053,1
Atg4c,4,0.34382,0.51203,0.999686,10467,1,0.036649,0.1058,0.962674,2222,2
Rhd,4,0.34382,0.51203,0.999686,10466,1,0.11183,0.24091,0.982644,5052,3
Shc1,4,0.34391,0.51209,0.999686,10468,2,0.42541,0.59144,0.99901,12235,2
SGR000121662.1_XPR003.1,1,0.34395,0.51212,0.999686,10469,1,0.65605,0.77368,0.999686,15909,0
Tacr3,4,0.34402,0.51219,0.999686,10470,2,0.52842,0.67433,0.99901,13942,2
SGR000121486.1_XPR003.1,1,0.34407,0.51223,0.999686,10471,1,0.65593,0.77364,0.999686,15908,0
Slc14a1,4,0.3441,0.51227,0.999686,10472,2,0.48643,0.64034,0.99901,13228,2
Tpbpb,4,0.34426,0.51241,0.999686,10473,2,0.88737,0.89111,0.999686,18321,1
Acox2,4,0.34438,0.51252,0.999686,10474,2,0.56195,0.70139,0.999686,14477,2
Olfr697,4,0.34446,0.51258,0.999686,10475,2,0.21716,0.39558,0.987502,8272,1
Hspa13,4,0.34447,0.51259,0.999686,10477,1,0.18331,0.34789,0.9861,7276,3
