id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Pias4,4,0.22758,0.42293,1.0,8480,3,0.39443,0.41354,0.998845,8513,1
Usp24,4,0.22758,0.42293,1.0,8481,3,0.081779,0.14202,0.998845,2845,1
Igfbp2,4,0.22758,0.42293,1.0,8482,3,0.66222,0.6621,1.0,13642,0
Scgb1b19,4,0.22759,0.42294,1.0,8483,2,0.64625,0.64616,1.0,13305,0
Cyp39a1,4,0.22768,0.42307,1.0,8484,2,0.60192,0.6017,1.0,12387,0
Evi2b,4,0.22768,0.42307,1.0,8485,2,0.56643,0.56594,0.998845,11711,0
Recql4,4,0.22792,0.42337,1.0,8486,2,0.42357,0.4369,0.998845,9003,1
Ube3c,4,0.22799,0.42347,1.0,8487,2,0.66083,0.66073,1.0,13613,0
Usp33,4,0.22803,0.42352,1.0,8488,2,0.90342,0.90337,1.0,18605,0
Gm904,4,0.22814,0.42367,1.0,8489,2,0.51215,0.51349,0.998845,10603,0
Socs5,4,0.22814,0.42367,1.0,8490,1,0.20211,0.27749,0.998845,5581,1
Rps5,4,0.22814,0.42367,1.0,8491,2,0.58399,0.58369,1.0,12044,0
Vmn1r148,4,0.22814,0.42367,1.0,8492,2,0.74823,0.74811,1.0,15421,0
Nt5e,4,0.22814,0.42367,1.0,8493,1,0.059,0.10931,0.998845,2181,1
Rbms3,4,0.22814,0.42367,1.0,8494,2,0.49746,0.50013,0.998845,10326,1
Arih2,4,0.2283,0.42387,1.0,8495,2,0.063853,0.11631,0.998845,2325,1
Wdr11,4,0.22841,0.42403,1.0,8496,2,0.54206,0.54188,0.998845,11185,0
Pold3,4,0.22912,0.42497,1.0,8497,2,0.87192,0.87174,1.0,17933,0
Klk1b22,4,0.22942,0.42538,1.0,8498,2,0.29918,0.34248,0.998845,7033,1
Dnajc28,4,0.22947,0.42544,1.0,8499,2,0.013435,0.035011,0.998845,670,1
Gdpd3,4,0.22947,0.42544,1.0,8500,1,0.39185,0.41148,0.998845,8478,1
Tlr8,4,0.22947,0.42544,1.0,8501,1,0.58191,0.58155,1.0,12004,0
Gm10334,4,0.22947,0.42544,1.0,8502,1,0.63421,0.63409,1.0,13049,0
Kcna1,4,0.22947,0.42544,1.0,8503,2,0.077639,0.13602,0.998845,2734,1
Mvp,4,0.22947,0.42544,1.0,8504,1,0.053912,0.10206,0.998845,2008,2
Gm2927,4,0.22947,0.42544,1.0,8505,1,0.21899,0.28842,0.998845,5831,1
Sfr1,4,0.22947,0.42544,1.0,8506,2,0.27363,0.32479,0.998845,6634,1
Hrh3,4,0.22947,0.42544,1.0,8507,2,0.16762,0.2558,0.998845,5107,1
Adam3,4,0.22947,0.42544,1.0,8508,2,0.35956,0.3866,0.998845,7929,1
Esx1,4,0.22947,0.42544,1.0,8509,1,0.020752,0.052485,0.998845,1002,2
Gm4064,4,0.22947,0.42544,1.0,8510,1,0.096044,0.1622,0.998845,3256,2
Phc3,4,0.22947,0.42544,1.0,8511,2,0.27737,0.32738,0.998845,6691,1
Tlk1,4,0.22947,0.42544,1.0,8512,2,0.74036,0.74023,1.0,15244,0
Ace,4,0.22947,0.42544,1.0,8513,3,0.85774,0.85752,1.0,17649,0
Shcbp1l,4,0.22947,0.42544,1.0,8514,1,0.019527,0.049653,0.998845,953,1
Calm5,4,0.22947,0.42544,1.0,8515,2,0.37364,0.39732,0.998845,8177,1
Naa16,4,0.22947,0.42544,1.0,8516,1,0.038389,0.079609,0.998845,1568,1
Fkbp11,4,0.22947,0.42544,1.0,8517,1,0.50939,0.51095,0.998845,10552,1
Ruvbl2,4,0.22947,0.42544,1.0,8518,1,0.058586,0.10872,0.998845,2166,2
4930557A04Rik,4,0.22947,0.42544,1.0,8519,1,0.49118,0.49454,0.998845,10204,1
Eif4e1b,4,0.22947,0.42544,1.0,8520,1,0.017007,0.043726,0.998845,846,3
Ubtf,4,0.22966,0.42571,1.0,8521,2,0.77034,0.77018,1.0,15886,0
Crtap,4,0.22976,0.42584,1.0,8522,2,0.80754,0.8074,1.0,16641,0
Antxr2,4,0.23007,0.42625,1.0,8523,3,0.56843,0.56794,0.998845,11747,0
Adprhl1,4,0.23029,0.42657,1.0,8524,3,0.87585,0.87572,1.0,18005,0
Gpank1,4,0.23052,0.42688,1.0,8525,3,0.23245,0.29715,0.998845,6008,1
