id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
NR2F6,4,0.34076,0.55347,1.0,10448,2,0.55989,0.55959,0.985705,11393,0
C9orf50,4,0.34076,0.55347,1.0,10449,1,0.53416,0.53391,0.985705,10866,0
controlguide458,1,0.34083,0.34109,1.0,10450,1,0.65917,0.65921,0.986142,13442,0
TFF1,4,0.34088,0.55355,1.0,10451,2,0.78258,0.78282,0.990831,15884,0
PCDHGA11,4,0.34107,0.55368,1.0,10452,2,0.41175,0.41158,0.985705,8322,0
controlguide314,1,0.34111,0.34138,1.0,10453,1,0.65889,0.65893,0.986048,13437,0
PYGM,4,0.34113,0.55373,1.0,10454,2,0.67055,0.67042,0.986183,13666,0
SFTA3,4,0.34162,0.5541,1.0,10455,2,0.90248,0.90274,1.0,18126,0
LXN,4,0.34162,0.5541,1.0,10456,2,0.42173,0.42147,0.985705,8530,0
CPE,4,0.34207,0.55443,1.0,10457,2,0.74336,0.74365,0.989886,15083,0
NKAIN3,4,0.34236,0.55463,1.0,10458,2,0.60732,0.60703,0.985705,12355,0
CCNT2,4,0.34236,0.55463,1.0,10459,2,0.55304,0.55278,0.985705,11266,0
controlguide921,1,0.34239,0.34268,1.0,10460,1,0.65761,0.6577,0.985939,13408,0
LY75,4,0.34241,0.55467,1.0,10461,2,0.67426,0.67412,0.986803,13738,0
C1orf210,4,0.3426,0.55479,1.0,10462,2,0.069674,0.1083,0.985705,2119,1
OR6B2,4,0.34265,0.55483,1.0,10463,2,0.015868,0.031197,0.976721,631,2
VMP1,4,0.34307,0.55509,1.0,10464,2,0.024972,0.046452,0.985705,922,1
MED7,4,0.34318,0.55517,1.0,10465,2,0.75103,0.7513,0.989886,15252,0
USP17L17,4,0.34362,0.5555,1.0,10466,1,0.47635,0.4763,0.985705,9649,0
GRIP2,4,0.34362,0.5555,1.0,10467,2,0.22586,0.23421,0.985705,4704,1
C2orf47,4,0.34362,0.5555,1.0,10468,2,0.90457,0.9048,1.0,18163,0
NOTCH3,4,0.34362,0.5555,1.0,10469,1,0.13595,0.15959,0.985705,3192,1
ADGRF5,4,0.34362,0.5555,1.0,10470,1,0.33725,0.33689,0.985705,6808,1
MYBL1,4,0.34362,0.5555,1.0,10471,2,0.75112,0.75138,0.989886,15257,0
