id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Pcmt1,4,0.47591,0.62346,0.999686,12827,1,0.37616,0.56575,0.996996,11691,2
Magea8,4,0.476,0.62355,0.999686,12828,1,0.035373,0.10265,0.974028,2145,3
Gm13288,4,0.47603,0.62358,0.999686,12830,2,0.31003,0.51647,0.995801,10715,2
Chp2,4,0.47603,0.62358,0.999686,12829,2,0.22528,0.4087,0.989518,8507,2
Phf3,4,0.47614,0.62367,0.999686,12831,1,0.14007,0.28864,0.989518,5999,3
Map7d2,4,0.47618,0.62371,0.999686,12832,2,0.14353,0.29377,0.989518,6110,2
Taar4,4,0.47636,0.62386,0.999686,12834,2,0.66941,0.7913,0.999686,16249,2
Klhl15,4,0.47636,0.62386,0.999686,12833,2,0.070921,0.1815,0.979063,3797,2
Ppp1r3c,4,0.47639,0.62388,0.999686,12835,1,0.16219,0.32088,0.989518,6636,3
Cdc34,4,0.47661,0.62407,0.999686,12837,2,0.10566,0.23667,0.982666,4970,2
Serping1,4,0.47661,0.62407,0.999686,12838,2,0.56985,0.71257,0.999686,14651,2
Mfsd10,4,0.47661,0.62407,0.999686,12836,2,0.49125,0.65253,0.999363,13497,2
Aifm3,4,0.47672,0.62416,0.999686,12839,2,0.25574,0.44917,0.989518,9373,2
Csrp2,4,0.47679,0.62423,0.999686,12841,2,0.44022,0.61397,0.998923,12696,2
Zfp560,4,0.47679,0.62423,0.999686,12840,2,0.42877,0.60537,0.998876,12528,2
Clip3,4,0.47681,0.62423,0.999686,12842,2,0.28967,0.49271,0.993596,10242,2
Cdhr1,4,0.4769,0.62432,0.999686,12843,2,0.61092,0.74474,0.999686,15289,2
Smim9,4,0.4769,0.62432,0.999686,12844,2,0.19672,0.36978,0.989518,7618,1
Mrps6,4,0.47692,0.62433,0.999686,12845,1,0.23738,0.42496,0.989518,8842,3
Fam173b,4,0.47696,0.62437,0.999686,12846,2,0.19779,0.37122,0.989518,7648,2
Mtg2,4,0.47705,0.62444,0.999686,12847,2,0.14822,0.30063,0.989518,6242,2
Spata17,4,0.47711,0.62448,0.999686,12849,1,0.014945,0.046841,0.961987,1004,3
AB124611,4,0.47711,0.62448,0.999686,12848,1,0.016042,0.050016,0.963331,1062,2
Ccdc94,4,0.47717,0.62453,0.999686,12850,2,0.013829,0.043648,0.95626,943,2
SGR000121439.1_XPR003.1,1,0.47717,0.62453,0.999686,12851,0,0.52283,0.67668,0.999686,13928,0
Slc12a5,4,0.47729,0.62465,0.999686,12852,2,0.41422,0.59437,0.99801,12306,2
SGR000122316.1_XPR003.1,1,0.47732,0.62467,0.999686,12854,0,0.52268,0.67657,0.999686,13925,0
1700024G13Rik,4,0.47732,0.62467,0.999686,12853,1,0.30669,0.51392,0.995801,10661,2
Vmn1r86,4,0.4775,0.62483,0.999686,12855,2,0.061375,0.16576,0.979063,3474,2
Krt80,4,0.47764,0.62494,0.999686,12856,2,0.076963,0.19134,0.979063,3986,2
Mettl18,4,0.47773,0.62502,0.999686,12857,1,0.077044,0.19147,0.979063,3990,3
Pkia,4,0.47776,0.62505,0.999686,12859,2,0.6445,0.77123,0.999686,15824,2
Rnf11,4,0.47776,0.62505,0.999686,12858,2,0.82255,0.85844,0.999686,17610,1
Nucks1,4,0.4778,0.6251,0.999686,12860,1,0.091735,0.21484,0.979094,4533,3
Polr3k,4,0.47783,0.62511,0.999686,12861,2,0.27832,0.47818,0.990543,9975,2
Lrrc26,4,0.47793,0.6252,0.999686,12862,1,0.5937,0.73114,0.999686,15012,2
Gm590,4,0.47804,0.62528,0.999686,12864,1,0.16385,0.32324,0.989518,6688,3
Il10rb,4,0.47804,0.62528,0.999686,12863,2,0.14983,0.30293,0.989518,6282,2
Vwa5b2,4,0.47809,0.62532,0.999686,12865,1,0.4106,0.59166,0.997442,12260,2
Lce1k,4,0.47816,0.62538,0.999686,12867,2,0.31563,0.52058,0.996135,10801,2
Chd4,4,0.47816,0.62538,0.999686,12866,2,0.94898,0.94828,0.999686,19447,0
Olfr447,4,0.47822,0.62543,0.999686,12868,1,0.041839,0.11916,0.974028,2502,3
SGR000122086.1_XPR003.1,1,0.47834,0.62552,0.999686,12869,0,0.52166,0.6758,0.999686,13910,0
Il22ra2,4,0.47838,0.62555,0.999686,12870,2,0.18925,0.3594,0.989518,7387,2
Slc16a3,4,0.47855,0.62569,0.999686,12871,1,0.17272,0.33611,0.989518,6919,3
Sbk2,4,0.47856,0.6257,0.999686,12872,2,0.32116,0.52472,0.996229,10886,2
Slc4a9,4,0.47866,0.62579,0.999686,12874,2,0.1453,0.29638,0.989518,6154,2
Abcf3,4,0.47866,0.62579,0.999686,12873,1,0.0070708,0.02316,0.91716,521,3
Sh2b3,4,0.47886,0.62595,0.999686,12875,2,0.50651,0.66421,0.999686,13701,1
