id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Samhd1,4,8.8264e-07,3.1132e-06,0.064356,1,4,1.0,1.0,20654,0
Isca2,4,3.3431e-06,1.2692e-05,0.117162,2,4,0.98477,1.0,20104,0
Urm1,4,1.0044e-05,3.8077e-05,0.173267,3,4,0.99999,1.0,20653,0
BC052040,4,1.1126e-05,4.1909e-05,0.173267,4,4,0.99998,1.0,20651,0
Vmn2r95,4,1.4396e-05,5.6277e-05,0.193894,5,2,0.20007,0.977365,4127,2
Naa35,4,1.8987e-05,7.2562e-05,0.214286,6,2,0.35297,1.0,7108,1
SGR000122364.1_XPR003.1,1,1.8987e-05,1.7003e-05,0.117162,7,1,0.99998,1.0,20652,0
Rnf123,4,2.4697e-05,9.9383e-05,0.256807,8,2,0.46775,1.0,9416,1
Cox4i1,4,3.5547e-05,0.00013531,0.310781,9,3,0.80638,1.0,16156,0
Rtcb,4,4.3245e-05,0.00016644,0.344059,10,4,0.99995,1.0,20650,0
Nrsn1,4,5.9536e-05,0.00023014,0.382508,11,3,0.92163,1.0,18504,0
Pgm3,4,6.3705e-05,0.00025025,0.382508,12,4,0.99993,1.0,20649,0
Ccni,4,6.5197e-05,0.00025888,0.382508,13,3,0.9358,1.0,18825,0
Orc4,4,6.7291e-05,0.00026846,0.382508,14,3,0.12729,0.957053,2672,1
Pnpt1,4,6.9797e-05,0.00027756,0.382508,15,4,0.99993,1.0,20648,0
Rlf,4,8.6945e-05,0.00034221,0.416925,16,4,0.98546,1.0,20125,0
Atp1b3,4,0.00010365,0.0004131,0.416925,17,4,0.9998,1.0,20638,0
Dph6,4,0.00010395,0.0004131,0.416925,18,4,0.99989,1.0,20647,0
Bap1,4,0.00010411,0.00041358,0.416925,19,2,0.88553,1.0,17749,0
Eftud1,4,0.00010993,0.00043681,0.416925,20,4,0.99989,1.0,20646,0
Mettl14,4,0.0001197,0.00047776,0.416925,21,4,0.99988,1.0,20644,0
Smarcd3,4,0.0001197,0.00047776,0.416925,22,4,0.99988,1.0,20645,0
Plcxd1,4,0.00012657,0.00050266,0.416925,23,3,0.74547,1.0,14992,0
Ube2n,4,0.0001322,0.00052565,0.416925,24,4,0.99828,1.0,20557,0
Coa7,4,0.00013748,0.00054529,0.416925,25,4,0.97957,1.0,19952,0
Wdr45,4,0.00013757,0.00054577,0.416925,26,4,0.99359,1.0,20387,0
Rad9a,4,0.00013851,0.00055056,0.416925,27,4,0.99986,1.0,20643,0
Olfr111,4,0.00014454,0.00057547,0.416925,28,3,0.60246,1.0,12164,1
Fam13c,4,0.00015412,0.00060899,0.416925,29,4,0.99984,1.0,20642,0
Hivep3,4,0.00015959,0.00062911,0.416925,30,4,0.99984,1.0,20641,0
Zpr1,4,0.00016413,0.00064539,0.416925,31,4,0.99983,1.0,20639,0
Naa20,4,0.00016413,0.00064539,0.416925,32,4,0.99983,1.0,20640,0
Sirt7,4,0.0001772,0.00069042,0.420105,33,3,0.45733,1.0,9196,1
Ugt1a2,4,0.00017893,0.00069329,0.420105,34,4,0.94742,1.0,19100,0
Pigt,4,0.00018599,0.00071245,0.420105,35,3,0.53778,1.0,10881,1
Mars2,4,0.00019113,0.00073161,0.420105,36,4,0.9998,1.0,20637,0
Ppcs,4,0.00021722,0.00084129,0.470029,37,4,0.99977,1.0,20636,0
Erlin2,4,0.00022782,0.00088248,0.471313,38,4,0.99854,1.0,20569,0
Shfm1,4,0.00022919,0.00088918,0.471313,39,4,0.99976,1.0,20635,0
Mrps9,4,0.0002358,0.00091265,0.471658,40,3,0.35244,1.0,7097,1
4930590J08Rik,4,0.00026312,0.0010032,0.505796,41,2,0.8552,1.0,17109,0
4933427D14Rik,4,0.0002741,0.0010492,0.509901,42,3,0.83433,1.0,16715,0
Rnd1,4,0.00027844,0.0010606,0.509901,43,3,0.21575,0.983876,4433,1
Mrpl52,4,0.00029039,0.0011062,0.511946,44,4,0.99969,1.0,20634,0
Mettl1,4,0.0003002,0.0011392,0.511946,45,4,0.99969,1.0,20633,0
Trmt61a,4,0.00031221,0.0011866,0.521909,46,4,0.99968,1.0,20632,0
Rad51c,4,0.00032677,0.0012369,0.527076,47,3,0.99966,1.0,20631,0
Rpia,4,0.00032906,0.0012494,0.527076,48,3,0.15421,0.965476,3209,1
Crkl,4,0.00035787,0.0013557,0.542747,49,4,0.99963,1.0,20630,0
Sdha,4,0.00035787,0.0013557,0.542747,50,4,0.99963,1.0,20629,0
Prrc2b,4,0.00037161,0.0014146,0.542747,51,4,0.94954,1.0,19164,0
Il1a,4,0.00037968,0.0014424,0.542747,52,1,0.31909,1.0,6451,2
Lhx1,4,0.00038189,0.0014515,0.542747,53,3,0.29851,1.0,6049,1
Slc2a8,4,0.00038197,0.001452,0.542747,54,4,0.99961,1.0,20628,0
Klhdc7b,4,0.00039569,0.0014989,0.542747,55,3,0.67423,1.0,13557,1
Olfr1013,4,0.00040049,0.0015113,0.542747,56,2,0.35697,1.0,7187,1
Adsl,4,0.00040865,0.0015444,0.542747,57,4,0.99958,1.0,20627,0
Nog,4,0.0004303,0.0016134,0.542747,58,3,0.86275,1.0,17267,0
Nelfa,4,0.00043839,0.0016416,0.542747,59,4,0.99955,1.0,20626,0
Nfyb,4,0.00044072,0.0016541,0.542747,60,3,0.77969,1.0,15651,0
Ubr7,4,0.00044072,0.0016541,0.542747,61,4,0.97786,1.0,19902,0
Olfr487,4,0.00044072,0.0016541,0.542747,62,2,0.3019,1.0,6101,1
Rabggta,4,0.00044751,0.0016809,0.54293,63,4,0.99954,1.0,20625,0
Pde11a,4,0.00047681,0.0017915,0.55252,64,2,0.11058,0.957053,2324,2
Mrps21,4,0.00050722,0.0018931,0.55252,65,4,0.99949,1.0,20624,0
Tbc1d9b,4,0.00051948,0.0019429,0.55252,66,4,0.99948,1.0,20623,0
Ctu1,4,0.0005302,0.0019822,0.55252,67,4,0.99205,1.0,20333,0
Chchd3,4,0.00053153,0.0019889,0.55252,68,2,0.29146,0.999049,5920,1
Rnf208,4,0.0005389,0.0020119,0.55252,69,3,0.56004,1.0,11322,1
Idi1,4,0.00054314,0.0020257,0.55252,70,4,0.99946,1.0,20622,0
Arhgap5,4,0.00056415,0.0021172,0.55252,71,3,0.79213,1.0,15878,0
Ap3b1,4,0.00057865,0.0021742,0.55252,72,4,0.99943,1.0,20621,0
Usp25,4,0.00058214,0.0021824,0.55252,73,2,0.21631,0.983876,4445,1
Calr,4,0.00059459,0.0022188,0.55252,74,4,0.99941,1.0,20620,0
Gnb1l,4,0.00062826,0.0023423,0.55252,75,3,0.8902,1.0,17852,0
Grb2,4,0.00063967,0.0023797,0.55252,76,4,0.99936,1.0,20619,0
Eefsec,4,0.0006454,0.0023984,0.55252,77,4,0.99936,1.0,20618,0
Nadk2,4,0.00065805,0.0024434,0.55252,78,3,0.45503,1.0,9142,1
Megf9,4,0.00065805,0.0024434,0.55252,79,1,0.58505,1.0,11823,1
Ankrd49,4,0.0006581,0.0024434,0.55252,80,4,0.99935,1.0,20616,0
Cops4,4,0.0006581,0.0024434,0.55252,81,4,0.99935,1.0,20617,0
Car11,4,0.0006585,0.0024439,0.55252,82,2,0.64663,1.0,12989,1
Dtd1,4,0.00067405,0.002497,0.55252,83,4,0.99933,1.0,20615,0
Setdb1,4,0.00067508,0.0024994,0.55252,84,3,0.8128,1.0,16289,0
Hnrnpab,4,0.00067511,0.0024994,0.55252,85,4,0.99933,1.0,20614,0
Rad21,4,0.00067628,0.0025047,0.55252,86,4,0.99933,1.0,20613,0
Slc7a5,4,0.00067968,0.0025229,0.55252,87,4,0.99933,1.0,20612,0
Ets1,4,0.00068353,0.0025373,0.55252,88,4,0.98634,1.0,20147,0
Dtx3l,4,0.00068353,0.0025373,0.55252,89,3,0.81208,1.0,16273,0
Rbm12b1,4,0.00068643,0.0025473,0.55252,90,3,0.99932,1.0,20611,0
Gpr139,4,0.00068696,0.0025488,0.55252,91,4,0.99932,1.0,20610,0
Uqcrc1,4,0.00069787,0.0025876,0.55252,92,4,0.99931,1.0,20609,0
1110008P14Rik,4,0.00070965,0.0026388,0.55252,93,2,0.17007,0.97058,3521,2
Golt1b,4,0.00073897,0.002736,0.55252,94,4,0.99926,1.0,20608,0
Olfr829,4,0.00074841,0.0027648,0.55252,95,2,0.79702,1.0,15961,0
Bard1,4,0.0007521,0.0027791,0.55252,96,4,0.99925,1.0,20607,0
Ei24,4,0.00076076,0.0028108,0.55252,97,4,0.99924,1.0,20606,0
Tmem97,4,0.00076855,0.0028385,0.55252,98,3,0.54593,1.0,11039,1
Tbc1d32,4,0.00077794,0.0028687,0.55252,99,3,0.86961,1.0,17415,0
Ric8b,4,0.00078456,0.0028898,0.55252,100,3,0.47075,1.0,9487,1
Kntc1,4,0.00078541,0.0028927,0.55252,101,4,0.99922,1.0,20605,0
Pik3c3,4,0.00078541,0.0028927,0.55252,102,4,0.99922,1.0,20604,0
Irf2bp2,4,0.00083516,0.0030689,0.55252,103,2,0.82664,1.0,16564,0
Atp6v0a1,4,0.00083786,0.003079,0.55252,104,4,0.99917,1.0,20602,0
Fars2,4,0.00083786,0.003079,0.55252,105,4,0.99917,1.0,20603,0
Spef1,4,0.00084631,0.003112,0.55252,106,4,0.99437,1.0,20419,0
Dhfr,4,0.00085078,0.0031259,0.55252,107,4,0.99915,1.0,20601,0
Lrp1,4,0.00086896,0.003193,0.55252,108,4,0.99914,1.0,20600,0
E130309D02Rik,4,0.00086898,0.003193,0.55252,109,3,0.50366,1.0,10174,1
Shoc2,4,0.00087912,0.0032351,0.55252,110,4,0.98202,1.0,20032,0
Ckb,4,0.00088576,0.003261,0.55252,111,3,0.82968,1.0,16617,0
Rcvrn,4,0.0009044,0.0033113,0.55252,112,2,0.18112,0.97306,3757,1
Crtc2,4,0.0009044,0.0033113,0.55252,113,4,0.99177,1.0,20324,0
Atp2b3,4,0.00091988,0.0033663,0.55252,114,4,0.99909,1.0,20599,0
Mtg2,4,0.00092877,0.0033965,0.55252,115,4,0.94742,1.0,19099,0
Wdr7,4,0.00093563,0.0034195,0.55252,116,4,0.99907,1.0,20597,0
Pdpn,4,0.00093563,0.0034195,0.55252,117,4,0.99907,1.0,20598,0
Cmas,4,0.00093636,0.0034233,0.55252,118,2,0.41547,1.0,8362,2
Tmem170,4,0.00095835,0.0035086,0.55252,119,2,0.57119,1.0,11533,1
Gm1979,4,0.00096174,0.0035201,0.55252,120,2,0.99904,1.0,20596,0
6330403A02Rik,4,0.00096802,0.0035426,0.55252,121,3,0.9761,1.0,19843,0
Rnaseh2a,4,0.00098695,0.0036092,0.55252,122,4,0.98827,1.0,20207,0
Capzb,4,0.00099538,0.003635,0.55252,123,4,0.99901,1.0,20594,0
Trappc4,4,0.00099538,0.003635,0.55252,124,4,0.99901,1.0,20590,0
Rnf31,4,0.00099538,0.003635,0.55252,125,4,0.99901,1.0,20592,0
Trmt10c,4,0.00099538,0.003635,0.55252,126,4,0.99901,1.0,20591,0
Tbcd,4,0.00099538,0.003635,0.55252,127,4,0.99901,1.0,20589,0
Cdk7,4,0.00099538,0.003635,0.55252,128,4,0.99901,1.0,20595,0
Rars2,4,0.00099538,0.003635,0.55252,129,4,0.99901,1.0,20593,0
Zfp526,4,0.0010203,0.0037208,0.55252,130,4,0.99898,1.0,20588,0
A830080D01Rik,4,0.0010375,0.003783,0.55252,131,2,0.10494,0.956495,2213,1
Mecr,4,0.0010441,0.0038099,0.55252,132,3,0.50939,1.0,10305,1
Ndufaf7,4,0.0010454,0.0038166,0.55252,133,4,0.99895,1.0,20587,0
Top3b,4,0.0010669,0.0038946,0.55252,134,2,0.56032,1.0,11328,1
Ptcd1,4,0.0010673,0.003897,0.55252,135,4,0.99893,1.0,20583,0
Cdc37,4,0.0010673,0.003897,0.55252,136,4,0.99893,1.0,20586,0
Gfm1,4,0.0010673,0.003897,0.55252,137,4,0.99893,1.0,20585,0
Ctps,4,0.0010673,0.003897,0.55252,138,4,0.99893,1.0,20584,0
Snx10,4,0.0010881,0.0039789,0.55252,139,3,0.9176,1.0,18422,0
Pcnp,4,0.0010918,0.0039938,0.55252,140,4,0.99891,1.0,20582,0
Npas3,4,0.001106,0.0040422,0.55252,141,3,0.65375,1.0,13128,1
Olfr711,4,0.001108,0.0040503,0.55252,142,3,0.22969,0.985501,4719,1
Fos,4,0.0011162,0.0040776,0.55252,143,4,0.99689,1.0,20505,0
Emc8,4,0.0011314,0.0041303,0.55252,144,3,0.56795,1.0,11474,1
Wars2,4,0.0011314,0.0041303,0.55252,145,4,0.99689,1.0,20502,0
Syvn1,4,0.0011314,0.0041303,0.55252,146,3,0.91705,1.0,18403,0
Rbpms2,4,0.0011314,0.0041303,0.55252,147,3,0.88004,1.0,17642,0
Txndc17,4,0.0011401,0.0041667,0.55252,148,4,0.99885,1.0,20580,0
Pet117,4,0.0011401,0.0041667,0.55252,149,4,0.99885,1.0,20581,0
Glrx3,4,0.0011401,0.0041667,0.55252,150,4,0.99885,1.0,20579,0
Ccdc152,4,0.0011407,0.0041696,0.55252,151,2,0.36395,1.0,7336,1
SGR000122257.1_XPR003.1,1,0.0011455,0.0011349,0.511946,152,1,0.99888,1.0,20578,0
A730017C20Rik,4,0.001164,0.0042505,0.556116,153,1,0.16229,0.97058,3363,2
Elp6,4,0.001164,0.0042505,0.556116,154,3,0.2226,0.984603,4576,1
Rps6ka5,4,0.0011727,0.0042821,0.556728,155,3,0.58007,1.0,11718,1
Minos1,4,0.001204,0.0043966,0.559082,156,4,0.99867,1.0,20572,0
Klhl13,4,0.0012085,0.0044119,0.559082,157,4,0.99878,1.0,20577,0
Stfa2,4,0.0012085,0.0044119,0.559082,158,4,0.99878,1.0,20575,0
Gm6696,4,0.0012085,0.0044119,0.559082,159,4,0.99878,1.0,20576,0
Rims4,4,0.0012269,0.0044703,0.559082,160,3,0.79383,1.0,15902,0
Pnrc2,4,0.0012352,0.004501,0.559082,161,4,0.99359,1.0,20386,0
Glp1r,4,0.0012458,0.0045307,0.559082,162,4,0.96823,1.0,19637,0
Eif3l,4,0.0012458,0.0045307,0.559082,163,4,0.9886,1.0,20219,0
Ano7,4,0.0012489,0.0045436,0.559082,164,4,0.99874,1.0,20574,0
Cav2,4,0.0012781,0.0046466,0.565725,165,3,0.85183,1.0,17041,0
Btg1-ps1,4,0.0012795,0.0046523,0.565725,166,4,0.99871,1.0,20573,0
Pum2,4,0.001311,0.0047647,0.57348,167,4,0.95848,1.0,19399,0
Dynlrb1,4,0.0013132,0.0047716,0.57348,168,4,0.99797,1.0,20550,0
Rbl1,4,0.001324,0.0048085,0.574572,169,4,0.99866,1.0,20571,0
Atp4b,4,0.0013411,0.0048626,0.5777,170,1,0.46121,1.0,9274,1
Mrps23,4,0.001356,0.0049162,0.580736,171,4,0.99095,1.0,20295,0
Cox11,4,0.0013744,0.0049819,0.585143,172,4,0.94374,1.0,19000,0
Vmn1r57,4,0.0013916,0.005046,0.589333,173,3,0.36363,1.0,7326,1
Smarcb1,4,0.001411,0.0051145,0.589758,174,4,0.99857,1.0,20570,0
Metap1,4,0.0014229,0.0051572,0.589758,175,4,0.99448,1.0,20424,0
Kansl3,4,0.0014229,0.0051572,0.589758,176,4,0.98761,1.0,20189,0
Arih1,4,0.0014414,0.0052175,0.589758,177,4,0.99854,1.0,20568,0
Gstm3,4,0.0014414,0.0052175,0.589758,178,4,0.99854,1.0,20567,0
Mipep,4,0.0014439,0.0052209,0.589758,179,4,0.9645,1.0,19545,0
Prmt1,4,0.0014711,0.0053147,0.5971,180,4,0.99851,1.0,20566,0
Btf3l4,4,0.0014928,0.0053914,0.601234,181,2,0.065202,0.925726,1405,2
Adck1,4,0.0015021,0.0054237,0.601234,182,4,0.99847,1.0,20565,0
Iba57,4,0.0015059,0.0054388,0.601234,183,4,0.98526,1.0,20120,0
Dusp23,4,0.0015222,0.0055078,0.603053,184,3,0.92686,1.0,18612,0
Ppp1r2,4,0.001537,0.0055542,0.603053,185,4,0.99844,1.0,20564,0
Mllt1,4,0.0015385,0.0055595,0.603053,186,3,0.78308,1.0,15705,0
Elovl5,4,0.0015434,0.0055719,0.603053,187,2,0.24177,0.986906,4952,2
Vrk1,4,0.0015659,0.0056505,0.608369,188,4,0.99841,1.0,20563,0
Ptk2,4,0.0015939,0.0057511,0.611856,189,1,0.54694,1.0,11059,1
Vps25,4,0.001598,0.0057659,0.611856,190,3,0.73376,1.0,14763,0
Ppcdc,4,0.0016001,0.0057717,0.611856,191,3,0.86255,1.0,17261,0
Canx,4,0.0016604,0.0059798,0.61898,192,4,0.99833,1.0,20561,0
Serpina1c,4,0.0016604,0.0059798,0.61898,193,4,0.99833,1.0,20562,0
Tmem210,4,0.0016698,0.0060097,0.61898,194,1,0.36621,1.0,7385,1
Tubd1,4,0.0016742,0.0060265,0.61898,195,4,0.99831,1.0,20560,0
Serpina3m,4,0.0016849,0.0060643,0.61898,196,3,0.52324,1.0,10590,1
Smarce1,4,0.0016849,0.0060643,0.61898,197,3,0.91649,1.0,18394,0
Ufm1,4,0.0016986,0.0061117,0.61898,198,3,0.35185,1.0,7088,1
Pelo,4,0.0017154,0.0061682,0.61898,199,4,0.99828,1.0,20555,0
Cdan1,4,0.0017154,0.0061682,0.61898,200,4,0.99828,1.0,20558,0
Pars2,4,0.0017154,0.0061682,0.61898,201,4,0.99828,1.0,20556,0
Ssu72,4,0.0017154,0.0061682,0.61898,202,4,0.99828,1.0,20559,0
Brd7,4,0.0017355,0.0062396,0.623117,203,3,0.50719,1.0,10260,1
Otp,4,0.0017456,0.0062774,0.623881,204,2,0.73398,1.0,14767,0
Ippk,4,0.0017613,0.0063316,0.626249,205,3,0.99171,1.0,20317,0
Pkm,4,0.0017782,0.0063924,0.629255,206,4,0.99592,1.0,20474,0
Mogs,4,0.0017936,0.0064456,0.630604,207,4,0.9982,1.0,20554,0
Tmem208,4,0.0018007,0.0064671,0.630604,208,3,0.63849,1.0,12828,1
Pigs,4,0.0018211,0.0065332,0.630785,209,4,0.99818,1.0,20552,0
Mtif2,4,0.0018211,0.0065332,0.630785,210,4,0.99818,1.0,20553,0
A630023A22Rik,4,0.0018278,0.0065605,0.630785,211,4,0.99523,1.0,20453,0
Tas2r110,4,0.0018465,0.0066319,0.634695,212,2,0.38562,1.0,7790,1
Mzt2,4,0.0018687,0.0067061,0.638842,213,3,0.74725,1.0,15029,0
Elane,4,0.0018973,0.0068129,0.642695,214,3,0.86497,1.0,17317,0
Smc5,4,0.0019058,0.0068431,0.642695,215,4,0.98851,1.0,20209,0
Pigk,4,0.0019058,0.0068431,0.642695,216,3,0.7547,1.0,15167,0
Ddx5,4,0.001919,0.0068891,0.642695,217,4,0.99808,1.0,20551,0
Ids,4,0.0019214,0.006902,0.642695,218,3,0.91563,1.0,18377,0
Gltscr1,4,0.0019479,0.0069882,0.647255,219,3,0.86435,1.0,17306,0
Romo1,4,0.0019551,0.0070136,0.647255,220,4,0.98809,1.0,20202,0
Lin7c,4,0.0020139,0.0072382,0.657056,221,3,0.72243,1.0,14504,0
Cnot10,4,0.0020299,0.0072933,0.657056,222,4,0.99797,1.0,20547,0
Taf6l,4,0.0020299,0.0072933,0.657056,223,4,0.99797,1.0,20548,0
Dnmt1,4,0.0020299,0.0072933,0.657056,224,4,0.99797,1.0,20549,0
Sacm1l,4,0.0020299,0.0072933,0.657056,225,4,0.99797,1.0,20546,0
Nt5c3b,4,0.0020549,0.0073862,0.657056,226,3,0.3406,1.0,6860,1
Ms4a6b,4,0.0020574,0.0073982,0.657056,227,4,0.99794,1.0,20545,0
Sprr2b,4,0.0020603,0.0074059,0.657056,228,2,0.067921,0.927017,1450,2
Elac2,4,0.0020721,0.0074514,0.658268,229,4,0.99792,1.0,20544,0
Ube2t,4,0.0020996,0.0075539,0.662277,230,3,0.68126,1.0,13675,1
Grin3a,4,0.0021142,0.0076013,0.662277,231,3,0.86987,1.0,17424,0
Ccrn4l,4,0.002125,0.0076396,0.662277,232,4,0.99754,1.0,20532,0
Hiat1,4,0.0021501,0.0077325,0.662277,233,4,0.94296,1.0,18983,0
Sbds,4,0.0021565,0.0077536,0.662277,234,4,0.99784,1.0,20543,0
Rpp25l,4,0.0021565,0.0077536,0.662277,235,4,0.99784,1.0,20542,0
Asna1,4,0.0021565,0.0077536,0.662277,236,4,0.99784,1.0,20541,0
Tgif1,4,0.0021735,0.0078144,0.662277,237,3,0.74802,1.0,15047,0
Glycam1,4,0.002196,0.0078963,0.662277,238,4,0.9978,1.0,20540,0
Smok3a,4,0.0021968,0.0079006,0.662277,239,4,0.99414,1.0,20407,0
Ubxn11,4,0.0022002,0.0079107,0.662277,240,4,0.99108,1.0,20298,0
Alg13,4,0.0022063,0.0079294,0.662277,241,4,0.99779,1.0,20539,0
Lrrc23,4,0.002214,0.0079634,0.662277,242,2,0.66321,1.0,13334,1
Araf,4,0.0022208,0.0079926,0.662277,243,3,0.81949,1.0,16417,0
Atg3,4,0.0022259,0.0080094,0.662277,244,2,0.3047,1.0,6157,1
Mrpl42,4,0.0022259,0.0080094,0.662277,245,2,0.68156,1.0,13680,1
Cep95,4,0.0022538,0.0081114,0.668041,246,4,0.99759,1.0,20534,0
Vps18,4,0.0022712,0.0081669,0.669535,247,3,0.58247,1.0,11770,1
Calu,4,0.0022907,0.008234,0.669535,248,4,0.99771,1.0,20538,0
Syngr3,4,0.0023017,0.0082761,0.669535,249,2,0.45661,1.0,9181,1
Gadd45gip1,4,0.0023042,0.0082838,0.669535,250,3,0.51176,1.0,10358,1
Klf11,4,0.0023058,0.0082915,0.669535,251,3,0.77301,1.0,15519,0
SGR000121402.1_XPR003.1,1,0.0023101,0.0022954,0.55252,252,1,0.99771,1.0,20537,0
Wrb,4,0.0023501,0.008439,0.671497,253,4,0.99764,1.0,20536,0
Gstcd,4,0.0023523,0.0084457,0.671497,254,3,0.92242,1.0,18520,0
Ash1l,4,0.0023825,0.008553,0.677421,255,3,0.89595,1.0,17961,0
Naf1,4,0.0023929,0.0085884,0.677632,256,4,0.99759,1.0,20535,0
Cdc42se1,4,0.0024028,0.0086215,0.677653,257,3,0.5535,1.0,11207,1
SGR000122238.1_XPR003.1,1,0.002424,0.0024094,0.55252,258,1,0.9976,1.0,20533,0
Cog8,4,0.002445,0.0087714,0.686825,259,4,0.99753,1.0,20531,0
Dcaf7,4,0.0024583,0.0088255,0.688455,260,3,0.92667,1.0,18608,0
Adipor1,4,0.0024845,0.0089107,0.692112,261,2,0.53012,1.0,10732,1
Sohlh1,4,0.0025039,0.0089773,0.692112,262,3,0.842,1.0,16865,0
Mthfd1l,4,0.0025219,0.0090319,0.692112,263,4,0.99745,1.0,20530,0
Cpt1c,4,0.0025219,0.0090319,0.692112,264,4,0.99745,1.0,20529,0
Maoa,4,0.0025544,0.0091414,0.692112,265,1,0.56136,1.0,11349,1
Blm,4,0.0025576,0.0091512,0.692112,266,4,0.99718,1.0,20519,0
Smyd3,4,0.0025632,0.0091737,0.692112,267,2,0.66608,1.0,13401,1
Tbxas1,4,0.0025632,0.0091737,0.692112,268,2,0.7998,1.0,16016,0
Dph2,4,0.0025632,0.0091737,0.692112,269,4,0.99224,1.0,20346,0
Slc10a7,4,0.0025768,0.0092125,0.692511,270,4,0.99739,1.0,20528,0
Ell2,4,0.002605,0.0093198,0.696106,271,3,0.37931,1.0,7667,1
Krtap4-2,4,0.0026082,0.0093294,0.696106,272,4,0.99736,1.0,20527,0
Gpr160,4,0.0026555,0.0094778,0.696106,273,3,0.68895,1.0,13815,1
Prmt3,4,0.0026612,0.0094956,0.696106,274,3,0.72592,1.0,14599,0
H2afz,4,0.0026612,0.0094956,0.696106,275,4,0.99499,1.0,20447,0
Tmem200a,4,0.0026612,0.0094956,0.696106,276,3,0.51201,1.0,10365,1
Aasdhppt,4,0.0026615,0.009496,0.696106,277,4,0.99731,1.0,20526,0
SGR000122204.1_XPR003.1,1,0.0027025,0.0026733,0.55252,278,1,0.99732,1.0,20525,0
Oxsm,4,0.0027039,0.0096323,0.697192,279,3,0.62054,1.0,12530,1
Padi4,4,0.0027313,0.0097192,0.697192,280,2,0.088528,0.946964,1873,2
Pole4,4,0.0027313,0.0097192,0.697192,281,3,0.74999,1.0,15083,0
Gm4559,4,0.0028024,0.0099736,0.697192,282,4,0.99718,1.0,20523,0
Mrpl27,4,0.0028024,0.0099736,0.697192,283,4,0.99718,1.0,20520,0
Seh1l,4,0.0028024,0.0099736,0.697192,284,4,0.99718,1.0,20524,0
Gtf3c1,4,0.0028024,0.0099736,0.697192,285,4,0.99718,1.0,20521,0
Mrpl12,4,0.0028024,0.0099736,0.697192,286,4,0.99718,1.0,20522,0
Ikbkap,4,0.0028242,0.010045,0.697192,287,4,0.97208,1.0,19742,0
Adam7,4,0.0028451,0.010115,0.697192,288,3,0.92354,1.0,18544,0
Trmt5,4,0.0028451,0.010115,0.697192,289,3,0.92568,1.0,18590,0
Tprkb,4,0.0028451,0.010115,0.697192,290,4,0.9951,1.0,20449,0
Dido1,4,0.0028451,0.010115,0.697192,291,3,0.86799,1.0,17373,0
E4f1,4,0.0028451,0.010115,0.697192,292,4,0.98905,1.0,20231,0
Ttc23l,4,0.0028576,0.010156,0.697192,293,3,0.58102,1.0,11741,1
Larp4,4,0.0028631,0.010176,0.697192,294,4,0.99712,1.0,20518,0
Chad,4,0.0028756,0.010212,0.697192,295,4,0.99711,1.0,20517,0
Kdm2a,4,0.0028832,0.010243,0.697192,296,4,0.99711,1.0,20516,0
Kti12,4,0.0028854,0.010252,0.697192,297,4,0.99711,1.0,20515,0
Ap3d1,4,0.0028926,0.010273,0.697192,298,4,0.9971,1.0,20514,0
Vars2,4,0.002897,0.010287,0.697192,299,4,0.9971,1.0,20513,0
Xlr4a,4,0.0029081,0.010324,0.697192,300,2,0.027826,0.916654,592,2
Edem3,4,0.0029161,0.010355,0.697192,301,3,0.70488,1.0,14152,1
Mrpl38,4,0.0029383,0.010429,0.697192,302,4,0.9857,1.0,20133,0
Trim26,4,0.0029503,0.01047,0.697192,303,2,0.17417,0.97058,3615,2
Rabggtb,4,0.0029557,0.010489,0.697192,304,4,0.99704,1.0,20512,0
Nkiras2,4,0.0029557,0.010489,0.697192,305,4,0.99704,1.0,20510,0
Gnb3,4,0.0029557,0.010489,0.697192,306,4,0.99704,1.0,20509,0
Mrpl36,4,0.0029557,0.010489,0.697192,307,4,0.99704,1.0,20511,0
Retsat,4,0.0029839,0.01058,0.699113,308,1,0.31537,1.0,6371,2
1110065P20Rik,4,0.0030021,0.010656,0.699113,309,4,0.99699,1.0,20508,0
Azi2,4,0.0030184,0.010712,0.699113,310,4,0.99697,1.0,20507,0
Ccar1,4,0.0030215,0.010721,0.699113,311,3,0.22138,0.983876,4553,1
Gm5935,4,0.0030215,0.010721,0.699113,312,4,0.95495,1.0,19298,0
Cyp2c50,4,0.0030215,0.010721,0.699113,313,4,0.94627,1.0,19063,0
Ifit3,4,0.0030597,0.010842,0.704792,314,3,0.5438,1.0,10999,1
Fam71e1,4,0.0030969,0.010969,0.705039,315,3,0.9969,1.0,20506,0
Atl2,4,0.0031014,0.010987,0.705039,316,4,0.99689,1.0,20501,0
Med21,4,0.0031014,0.010987,0.705039,317,4,0.99689,1.0,20504,0
Yars,4,0.0031014,0.010987,0.705039,318,4,0.99689,1.0,20503,0
Orc3,4,0.0031102,0.011016,0.705039,319,4,0.95663,1.0,19344,0
Olfr1351,4,0.0031368,0.011109,0.70658,320,3,0.82661,1.0,16563,0
Olfr661,4,0.003154,0.01118,0.707091,321,3,0.91538,1.0,18369,0
Ivl,4,0.0031607,0.011202,0.707091,322,3,0.82315,1.0,16494,0
