id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Icosl,4,0.32027,0.53908,1.0,10662,2,0.38204,1.0,7721,2
Smpdl3a,4,0.32031,0.53911,1.0,10663,1,0.57367,1.0,11592,1
Oas3,4,0.32036,0.53913,1.0,10664,2,0.40526,1.0,8163,2
Ggcx,4,0.32037,0.53914,1.0,10665,1,0.033144,0.916654,696,2
Rad23b,4,0.32042,0.53918,1.0,10666,2,0.5123,1.0,10370,1
Fam160a1,4,0.32048,0.53922,1.0,10667,1,0.21418,0.982782,4409,2
Dcaf12l1,4,0.32049,0.53922,1.0,10668,2,0.38258,1.0,7730,1
Wdr72,4,0.32062,0.53933,1.0,10669,2,0.53204,1.0,10757,1
Ccdc51,4,0.32065,0.53936,1.0,10670,2,0.82255,1.0,16477,0
Trpm2,4,0.32069,0.53938,1.0,10671,2,0.31762,1.0,6421,1
Rsbn1,4,0.32072,0.53939,1.0,10672,2,0.61984,1.0,12510,1
Scimp,4,0.32082,0.53947,1.0,10673,2,0.39081,1.0,7900,1
Klhl35,4,0.32093,0.53954,1.0,10674,2,0.80687,1.0,16168,0
Hoxc12,4,0.32095,0.53955,1.0,10675,2,0.8516,1.0,17037,0
Cldn14,4,0.32095,0.53955,1.0,10676,1,0.72444,1.0,14557,0
Bag2,4,0.32099,0.53957,1.0,10677,1,0.0086215,0.905595,181,3
Plch1,4,0.32103,0.53959,1.0,10678,2,0.87258,1.0,17491,0
Mief2,4,0.32126,0.53975,1.0,10679,2,0.26352,0.989216,5393,2
Sucnr1,4,0.32126,0.53975,1.0,10680,1,0.49924,1.0,10088,1
Hdx,4,0.32126,0.53975,1.0,10681,2,0.51651,1.0,10455,1
Olfr183,4,0.32133,0.53979,1.0,10682,2,0.36327,1.0,7320,2
Cntnap5c,4,0.32137,0.53983,1.0,10683,2,0.8079,1.0,16189,0
Cbln1,4,0.32137,0.53983,1.0,10684,2,0.74265,1.0,14931,0
SGR000121718.1_XPR003.1,1,0.32143,0.32152,0.972636,10685,1,0.6786,1.0,13656,0
H2-Ke6,4,0.32144,0.53988,1.0,10686,2,0.76415,1.0,15344,0
Rnf113a1,4,0.32144,0.53988,1.0,10687,2,0.77231,1.0,15504,0
SGR000121899.1_XPR003.1,1,0.32147,0.32156,0.972636,10688,1,0.67857,1.0,13655,0
1700024P16Rik,4,0.3215,0.53993,1.0,10689,2,0.61698,1.0,12448,1
Pramel6,4,0.3215,0.53993,1.0,10690,1,0.0052405,0.87508,117,3
Rhox9,4,0.3215,0.53993,1.0,10691,2,0.87399,1.0,17524,0
